text,gold_labels,generated
Thus any case of severe neutropenia occurring in a patient receiving olanzapine is alarming to clinicians.,"[['olanzapine', 'severe neutropenia']]","[['olanzapine','severe neutropenia']]"
"The potential development of SJS/TEN, a severe life-threatening illness, emphasizes the need for judicious use of TMP-Sx and close monitoring and follow-up for patients who were given TMP-Sx for SSTIs.","[['TMP-Sx', 'SJS'], ['TMP-Sx', 'TEN']]","[['TMP-Sx', 'SJS/TEN']]"
Dyspnea possibly associated with controlled-release morphine sulfate tablets.,"[['morphine sulfate', 'Dyspnea']]","[['morphine sulfate', 'Dyspnea']]"
"We report 2 cases of maculopapular eruption and fever in patients infected with human immunodeficiency virus (HIV) on the 2nd day of first administration of ritonavir, a protease inhibitor.","[['ritonavir', 'fever'], ['ritonavir', 'maculopapular eruption']]","[['ritonavir', 'fever'], ['ritonavir','maculopapular eruption']]"
Nitrofurantoin-induced acute liver damage in pregnancy.,"[['Nitrofurantoin', 'acute liver damage']]","[['Nitrofurantoin', 'acute liver damage']]"
A 70-year-old man was admitted to our hospital because of dyspnea after taking an antihistaminic agent (homochlorcyclizine hydrochloride) for itching.,"[['homochlorcyclizine hydrochloride', 'dyspnea']]","[['homochlorcyclizine hydrochloride', 'dyspnea']]"
Epoprostenol may be associated rarely with severe erythroderma.,"[['Epoprostenol', 'erythroderma']]","[['Epoprostenol', 'erythroderma']]"
"CONCLUSIONS: Because of its structural similarity to the other vinca alkaloids, vinorelbine is believed to be responsible for SIADH in our patient.","[['vinorelbine', 'SIADH']]","[['vinorelbine', 'SIADH']]"
We describe a 43-year-old man who developed signs and symptoms of bilateral optic neuropathy during treatment with ethambutol.,"[['ethambutol', 'bilateral optic neuropathy']]","[['ethambutol', 'bilateral optic neuropathy']]"
This is the first report on the histopathological findings of thyroid tissue from a patient with amiodarone-induced hypothyroidism.,"[['amiodarone', 'hypothyroidism']]","[['amiodarone', 'hypothyroidism']]"
MR findings in methotrexate-induced CNS abnormalities.,"[['methotrexate', 'CNS abnormalities'], ['methotrexate', 'CNS abnormalities']]","[['methotrexate', 'CNS abnormalities']]"
"In addition to the recognized arrhythmic complications, the authors emphasize myocardial necrosis as a possible further manifestation of amsacrine-related cardiotoxicity.","[['amsacrine', 'cardiotoxicity'], ['amsacrine', 'myocardial necrosis']]","[['amsacrine', 'cardiotoxicity'], ['amsacrine','myocardial necrosis']]"
Aminophylline hypersensitivity apparently due to ethylenediamine.,"[['Aminophylline', 'Aminophylline hypersensitivity'], ['ethylenediamine', 'Aminophylline hypersensitivity']]","[['ethylenediamine', 'hypersensitivity'], ['Aminophylline', 'hypersensitivity']]"
Toxic epidermal necrolysis resulted after 19 days of treatment with 5-fluorocytosine and amphotericin B.,"[['5-fluorocytosine', 'Toxic epidermal necrolysis'], ['amphotericin B', 'Toxic epidermal necrolysis']]","[['5-fluorocytosine', 'Toxic epidermal necrolysis'], ['amphotericin B', 'Toxic epidermal necrolysis']]"
Development of tics in a thirteen-year-old male following atomoxetine use.,"[['atomoxetine', 'tics']]","[['atomoxetine', 'tics']]"
Provocation of non-convulsive status epilepticus by tiagabine in three adolescent patients.,"[['tiagabine', 'non-convulsive status epilepticus']]","[['tiagabine', 'non-convulsive status epilepticus']]"
We report a case of myoclonus induced by quetiapine.,"[['quetiapine', 'myoclonus']]","[['quetiapine','myoclonus']]"
We report the first case of polymorphic ventricular tachycardia with normal QT interval associated with the oral use of levofloxacin in the absence of other etiologies known to cause these arrhythmias.,"[['levofloxacin', 'polymorphic ventricular tachycardia']]","[['levofloxacin', 'polymorphic ventricular tachycardia with normal QT interval']]"
Cyclosporine-induced pain syndrome in a child undergoing hematopoietic stem cell transplant.,"[['Cyclosporine', 'pain syndrome']]","[['Cyclosporine', 'pain syndrome']]"
BACKGROUND: How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.,"[['clozapine', 'granulocytopenia']]","[['clozapine', 'agranulocytosis'], ['clozapine', 'granulocytopenia']]"
Metastatic osteomyelitis following BCG vaccination.,"[['BCG', 'Metastatic osteomyelitis']]","[['BCG', 'Metastatic osteomyelitis']]"
Beneficial effect of low-dose mianserin on fluvoxamine-induced akathisia in an obsessive-compulsive patient.,"[['fluvoxamine', 'akathisia']]","[['fluvoxamine', 'akathisia']]"
Two infants developed hyperkalemia shortly after cessation of prolonged ACTH therapy for infantile spasms.,"[['ACTH', 'hyperkalemia']]","[['ACTH', 'hyperkalemia']]"
"In all the patients, pellagra symptoms appeared during isoniazid therapy.","[['isoniazid', 'pellagra']]","[['isoniazid', 'pellagra symptoms']]"
In one instance a systemic hypoglycemic reaction resulting in head trauma and confusion ended in an emegency hospital admission following the substitution of acetohexamide for acetazolamide.,"[['acetohexamide', 'confusion'], ['acetohexamide', 'head trauma'], ['acetohexamide', 'systemic hypoglycemic reaction']]","[['acetohexamide', 'confusion'], ['acetazolamide', 'confusion'], ['acetohexamide', 'head trauma'], ['acetazolamide', 'head trauma'], ['acetohexamide','systemic hypoglycemic reaction'], ['acetazolamide','systemic hypoglycemic reaction'], ['acetohexamide', 'head trauma'], ['acetazolamide', 'head trauma']]"
Intravenous diazepam exacerbated the seizures.,"[['diazepam', 'seizures']]","[['diazepam','seizures']]"
"CONCLUSIONS: The value of multihormonal therapy in breast carcinoma is not established, and the addition of progestogens to tamoxifen may not reduce of developing endometrial lesions, including carcinoma.","[['tamoxifen', 'carcinoma'], ['tamoxifen', 'endometrial lesions']]","[['tamoxifen', 'carcinoma']]"
This case suggests that acyclovir when given intravenously in doses of 10 mg/kg may result in increased serum lithium concentrations.,"[['acyclovir', 'increased serum lithium'], ['lithium', 'increased serum lithium']]","[['acyclovir', 'increased serum lithium concentrations']]"
"The patient experienced muscle twitches, tremulousness, and anxiety on day 17 of foscarnet therapy.","[['foscarnet', 'anxiety'], ['foscarnet', 'muscle twitches'], ['foscarnet', 'tremulousness']]","[['foscarnet', 'anxiety'], ['foscarnet','muscle twitches'], ['foscarnet', 'tremulousness']]"
Anaphylactoid reaction to methylprednisolone pulsed therapy for multiple sclerosis.,"[['methylprednisolone', 'Anaphylactoid reaction']]","[['methylprednisolone', 'Anaphylactoid reaction']]"
RESULTS: Two patients with ocular inflammation of unknown origin developed severe chorioretinitis after IVTA injection.,"[['IVTA', 'severe chorioretinitis']]","[['IVTA', 'chorioretinitis']]"
We report a case of reversible DKA and new-onset DM that developed in a demented patient who was treated with quetiapine for 14 days.,"[['quetiapine', 'DKA'], ['quetiapine', 'DM']]","[['quetiapine','reversible DKA'], ['quetiapine', 'new-onset DM']]"
Lovastatin-induced rhabdomyolysis possibly associated with clarithromycin and azithromycin.,"[['azithromycin', 'rhabdomyolysis'], ['clarithromycin', 'rhabdomyolysis'], ['Lovastatin', 'rhabdomyolysis']]","[['Azithromycin', 'rhabdomyolysis'], ['Lovastatin', 'rhabdomyolysis'], ['clarithromycin', 'rhabdomyolysis'], ['Lovastatin', 'rhabdomyolysis']]"
An encephalopathy and cardiomyopathy developed in a seventeen-year-old girl with chemotherapy-induced renal failure while receiving an intravesical aluminum infusion for hemorrhagic cystitis.,"[['aluminum', 'cardiomyopathy'], ['aluminum', 'encephalopathy']]","[['aluminum', 'cardiomyopathy'], ['aluminum', 'encephalopathy'], ['aluminum','renal failure']]"
"Although this type of hyperpigmentation has been previously seen in patients with cancer who are receiving bleomycin, this is, to our knowledge, the first reported case of bleomycin-induced hyperpigmentation in an AIDS patient and should be added to the growing list of cutaneous eruptions seen in these patients.","[['bleomycin', 'hyperpigmentation'], ['bleomycin', 'hyperpigmentation']]","[['bleomycin', 'hyperpigmentation']]"
Neurological side effects in two patients receiving gold injections for rheumatoid arthritis.,"[['gold', 'Neurological side effects']]","[['gold', 'Neurological side effects']]"
"A patient with psoriasis is described who had an abnormal response to the glucose tolerance test without other evidence of diabetes and then developed postprandial hyperglycemia and glycosuria during a period of topical administration of a corticosteroid cream, halcinonide cream 0.1%, under occlusion.","[['halcinonide', 'glycosuria'], ['halcinonide', 'postprandial hyperglycemia']]","[['halcinonide cream 0.1%', 'glycosuria'], ['halcinonide cream 0.1%', 'postprandial hyperglycemia']]"
Gemcitabine-induced rectus abdominus radiation recall.,"[['Gemcitabine', 'rectus abdominus radiation recall']]","[['Gemcitabine','rectus abdominus radiation recall']]"
Bilateral acoustic (VIII) nerve palsy in this patient was most likely a manifestation of vincristine neurotoxicity.,"[['vincristine', 'Bilateral acoustic (VIII) nerve palsy'], ['vincristine', 'neurotoxicity']]","[['vincristine', 'Bilateral acoustic (VIII) nerve palsy'], ['vincristine', 'neurotoxicity']]"
An objective causality assessment by use of the Naranjo probability scale revealed that NCSE due to ifosfamide was probable.,"[['ifosfamide', 'NCSE']]","[['ifosfamide', 'NCSE']]"
"Case report: life-threatening hypoglycaemia associated with sulfadoxine-pyrimethamine, a commonly used antimalarial drug.","[['sulfadoxine-pyrimethamine', 'life-threatening hypoglycaemia']]","[['sulfadoxine-pyrimethamine', 'hypoglycaemia']]"
A 52 year-old male patient diagnosed of ankylosing spondylitis presented with an iron deficiency anemia after a ten-month treatment of methotrexate.,"[['methotrexate', 'iron deficiency anemia']]","[['methotrexate', 'iron deficiency anemia']]"
We present a case of severe unilateral posterior scleritis associated with zoledronic acid administration that was recognized and treated in a timely manner.,"[['zoledronic acid', 'severe unilateral posterior scleritis']]","[['zoledronic acid','severe unilateral posterior scleritis']]"
"It was postulated that the allergic reaction was most likely caused by capecitabine or the intermediate metabolites based on the immediate reappearance of symptoms from the rechallenge, pharmacokinetic data, and well-tolerance of fluorouracil.","[['capecitabine', 'allergic reaction']]","[['capecitabine', 'allergic reaction'], ['fluorouracil', 'allergic reaction']]"
Sertraline-induced rhabdomyolysis in an elderly patient with dementia and comorbidities.,"[['Sertraline', 'rhabdomyolysis']]","[['Sertraline', 'rhabdomyolysis']]"
This is the first histologically confirmed case of NASH that was aggravated by raloxifene.,"[['raloxifene', 'NASH']]","[['raloxifene', 'NASH']]"
"Until additional data are available, if intravenous acyclovir is administered concurrently with lithium, we recommend closely monitoring patients for signs of lithium toxicity and measuring serum lithium levels every second or third day.","[['acyclovir', 'lithium toxicity'], ['lithium', 'lithium toxicity']]","[['lithium', 'lithium toxicity'], ['acyclovir', 'lithium toxicity']]"
"Moreover, these findings suggest that the incidence of BOOP following rituximab therapy may be higher than has been previously appreciated.","[['rituximab', 'BOOP']]","[['rituximab', 'BOOP']]"
Hyperpigmentation during interferon-alpha therapy for chronic hepatitis C virus infection.,"[['interferon-alpha', 'Hyperpigmentation']]","[['interferon-alpha', 'Hyperpigmentation']]"
Nine azotemic patients who developed a coagulopathy associated with the use of either cephalosporin or moxalactam antibiotics are reported.,"[['cephalosporin', 'coagulopathy'], ['moxalactam', 'coagulopathy']]","[['cephalosporin', 'coagulopathy'], ['moxalactam', 'coagulopathy']]"
His impaired memory was found to be due to the atenolol he was on and he made a complete recovery on withdrawing the beta-blocker.,"[['atenolol', 'impaired memory']]","[['atenolol', 'impaired memory']]"
Fulminant hepatic failure is a rare complication of disulfiram treatment for alcoholism.,"[['disulfiram', 'Fulminant hepatic failure']]","[['disulfiram', 'Fulminant hepatic failure']]"
"Thus, we confirm that desensitization may be a safe procedure in patients with cancer who experience methotrexate-induced anaphylaxis.","[['methotrexate', 'anaphylaxis']]","[['methotrexate', 'anaphylaxis']]"
Warfarin-associated bleeding complication saved life.,"[['Warfarin', 'bleeding']]","[['Warfarin', 'bleeding complication']]"
"Eleven days after initiation of therapy with amiodarone, the patient experienced syncope and was noted to have recurrent episodes of polymorphous ventricular tachycardia.","[['amiodarone', 'polymorphous ventricular tachycardia'], ['amiodarone', 'syncope']]","[['amiodarone', 'polymorphous ventricular tachycardia'], ['amiodarone','syncope']]"
We report the first case of IHA associated with cefuroxime administration.,"[['cefuroxime', 'IHA']]","[['cefuroxime', 'IHA']]"
Multiple pulmonary nodules: an unusual presentation of fludarabine pulmonary toxicity: case report and review of literature.,"[['fludarabine', 'Multiple pulmonary nodules'], ['fludarabine', 'pulmonary toxicity']]","[['fludarabine', 'pulmonary toxicity'], ['fludarabine', 'Multiple pulmonary nodules']]"
Acute reversible ataxo-myoclonic encephalopathy with flecainide therapy.,"[['flecainide', 'Acute reversible ataxo-myoclonic encephalopathy']]","[['flecainide', 'Acute reversible ataxo-myoclonic encephalopathy']]"
Propylthiouracil-induced sensorineural hearing loss associated with antineutrophil cytoplasmic antibodies.,"[['Propylthiouracil', 'antineutrophil cytoplasmic antibodies'], ['Propylthiouracil', 'sensorineural hearing loss']]","[['Propylthiouracil','sensorineural hearing loss']]"
"We cared for a patient with progressive renal impairment who presented with blurred vision, QRS broadening and cardiac failure due to chronic cibenzoline intoxication.","[['cibenzoline', 'blurred vision'], ['cibenzoline', 'cardiac failure'], ['cibenzoline', 'cibenzoline intoxication'], ['cibenzoline', 'QRS broadening']]","[['cibenzoline', 'cardiac failure'], ['cibenzoline', 'blurry vision'], ['cibenzoline', 'QRS broadening']]"
CONCLUSIONS: Symptoms and pathologic changes of colitis are associated with exposure to rofecoxib.,"[['rofecoxib', 'colitis']]","[['rofecoxib', 'colitis']]"
Toxic optic neuropathy associated with ethambutol: implications for current therapy.,"[['ethambutol', 'Toxic optic neuropathy']]","[['ethambutol', 'Toxic optic neuropathy']]"
PET scintigraphy of etoposide-induced pulmonary toxicity.,"[['etoposide', 'pulmonary toxicity']]","[['etoposide', 'pulmonary toxicity']]"
"CONCLUSION: All doctors need to be aware of the need to review the indications for gabapentin use during periods of acute illness, especially with regard to renal impairment.","[['gabapentin', 'renal impairment']]","[['gabapentin','renal impairment']]"
Severe respiratory syncytial virus pulmonary infection in a patient treated with fludarabine for chronic lymphocytic leukemia.,"[['fludarabine', 'Severe respiratory syncytial virus pulmonary infection']]","[['fludarabine', 'Severe respiratory syncytial virus pulmonary infection']]"
We report two cases of cerebrospinal fluid eosinophilia (CSFE) secondary to the intraventricular administration of vancomycin.,"[['vancomycin', 'cerebrospinal fluid eosinophilia'], ['vancomycin', 'CSFE']]","[['vancomycin', 'cerebrospinal fluid eosinophilia'], ['vancomycin', 'CSFE']]"
"We report an 82-year-old man who developed ventricular tachycardia and Torsades de Pointes (TdP) after oral administration of garenoxacin, a novel quinolone antibiotic agent that differs from the third-generation quinolones, for pneumonia.","[['garenoxacin', 'TdP'], ['garenoxacin', 'Torsades de Pointes'], ['garenoxacin', 'ventricular tachycardia']]","[['garenoxacin','ventricular tachycardia'], ['garenoxacin', 'TdP'], ['garenoxacin', 'TdP'], ['garenoxacin', 'TdP'], ['garenoxacin', 'TdP']]"
Fatal digoxin poisoning: an unsuccessful resuscitation with use of digoxin-immune Fab.,"[['digoxin', 'Fatal digoxin poisoning']]","[['digoxin', 'Fatal digoxin poisoning']]"
Can propofol precipitate pancreatitis in patients with Cushing's syndrome?,"[['propofol', 'pancreatitis']]","[['propofol', 'pancreatitis']]"
Acute psychosis associated with levetiracetam.,"[['levetiracetam', 'Acute psychosis']]","[['levetiracetam', 'Acute psychosis']]"
"She continued taking verapamil for 6 months, then, on her own, stopped all medications including the sustained-release verapamil, and her asthma symptoms disappeared.","[['verapamil', 'asthma']]","[['verapamil', 'asthma symptoms']]"
A 52-year-old Black woman on phenytoin therapy for post-traumatic epilepsy developed transient hemiparesis contralateral to the injury.,"[['phenytoin', 'transient hemiparesis']]","[['phenytoin', 'transient hemiparesis']]"
Autopsy evidence of herpesvirus infection was found in visceral organs of four leukemic patients who had received large doses of cytarabine (cytosine arabinoside; Ara-C) shortly before their death.,"[['Ara-C', 'herpesvirus infection'], ['cytarabine', 'herpesvirus infection'], ['cytosine arabinoside', 'herpesvirus infection']]","[['cytarabine', 'herpesvirus infection'], ['cytosine arabinoside', 'herpesvirus infection'], ['Ara-C', 'herpesvirus infection'], ['cytarabine', 'herpesvirus infection'], ['cytosine arabinoside', 'herpesvirus infection']]"
Cytarabine-induced cerebellar syndrome: case report and literature review.,"[['Cytarabine', 'cerebellar syndrome']]","[['Cytarabine', 'cerebellar syndrome']]"
These cases were considered unusual in light of the short delay of their onset after initiation of immunosuppressive therapy and their fulminant course: 3 of these patients died of PCP occurring during the first month of treatment with prednisone.,"[['prednisone', 'died']]","[['prednisone', 'PCP']]"
"On the next day, after a total dose of only 600 mg of danazol, gingival bleeding and purpura occurred.","[['danazol', 'gingival bleeding'], ['danazol', 'purpura']]","[['danazol', 'gingival bleeding'], ['danazol', 'purpura']]"
We describe a 41 yr old leprosy patient treated for 10 yrs with clofazimine who underwent laparotomy for severe abdominal pain.,"[['clofazimine', 'abdominal pain']]","[['clofazimine', 'abdominal pain']]"
A case of metoclopramide-induced oculogyric crisis in a 16-year-old girl with cystic fibrosis.,"[['metoclopramide', 'oculogyric crisis']]","[['metoclopramide', 'oculogyric crisis']]"
Long-term follow-up after neoplastic seeding complicating percutaneous ethanol injection for treatment of hepatocellular carcinoma.,"[['ethanol', 'neoplastic seeding']]","[['ethanol injection', 'neoplastic seeding']]"
Intrahepatic cholestasis and sicca complex after thiabendazole.,"[['thiabendazole', 'Intrahepatic cholestasis'], ['thiabendazole', 'sicca complex']]","[['thiabendazole', 'Intrahepatic cholestasis'], ['thiabendazole','sicca complex']]"
Colonic necrosis is known as a rare complication following the administration of Kayexalate (sodium polystryrene sulfonate) in sorbitol.,"[['Kayexalate', 'Colonic necrosis'], ['sodium polystryrene sulfonate', 'Colonic necrosis']]","[['Kayexalate', 'Colonic necrosis'], ['sorbitol', 'Colonic necrosis']]"
We report the occurrence of spontaneous intracranial bleeding in an human immunodeficiency virus (HIV)-infected adolescent with hemophilia A who was receiving amprenavir (APV).,"[['amprenavir', 'intracranial bleeding']]","[['amprenavir', 'intracraneal bleeding'], ['APV', 'intracraneal bleeding']]"
Primary CNS lymphoma regressed on withdrawal of MM.,"[['MM', 'CNS lymphoma']]","[['MM', 'Primary CNS lymphoma']]"
"A 50-year-old woman with a history of migraine without aura, predominantly occurring around her menstrual periods, developed a spinal cord lesion following the use of zolmitriptan.","[['zolmitriptan', 'spinal cord lesion']]","[['zolmitriptan','spinal cord lesion']]"
Prolonged severe cholestasis induced by oxacillin derivatives.,"[['oxacillin', 'severe cholestasis']]","[['oxacillin', 'Prolonged severe cholestasis']]"
Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.,"[['pravastatin', 'Myotonia']]","[['pravastatin', 'Myotonia']]"
Risperidone-induced obsessive-compulsive symptoms in two children.,"[['Risperidone', 'obsessive-compulsive symptoms']]","[['Risperidone', 'obsessive-compulsive symptoms']]"
"We describe in detail the first U.S. case report, of a 4(1/2)-year-old boy who experienced angioedema during treatment with oxcarbazepine.","[['oxcarbazepine', 'angioedema']]","[['oxcarbazepine', 'angioedema']]"
"His fever resolved, but he developed symptoms consistent with those of chloroquine toxicity.","[['chloroquine', 'chloroquine toxicity']]","[['chloroquine', 'chloroquine toxicity']]"
Nephrotic syndrome associated with lithium therapy.,"[['lithium', 'Nephrotic syndrome']]","[['lithium', 'Nephrotic syndrome']]"
"The renal biopsy showed focal segmental glomerulosclerosis, which has only been previously reported in two cases of CML treated with IFNalpha.","[['IFNalpha', 'focal segmental glomerulosclerosis']]","[['IFNalpha', 'focal segmental glomerulosclerosis']]"
The patient was initially treated with hydration and furosemide but developed congestive heart failure.,"[['furosemide', 'congestive heart failure']]","[['furosemide', 'congestive heart failure']]"
Can magnesium sulfate therapy impact lactogenesis?,"[['magnesium sulfate', 'lactogenesis']]","[['magnesium sulfate', 'lactogenesis']]"
An adverse reaction to IFN was strongly suspected as the cause of CHF.,"[['IFN', 'CHF']]","[['IFN', 'CHF']]"
Theophylline intoxication mimicking diabetic ketoacidosis in a child.,"[['Theophylline', 'Theophylline intoxication']]","[['Theophylline', 'diabetic ketoacidosis'], ['Theophylline', 'Theophylline intoxication']]"
"Although heparin-dependent antibodies (HDAs) typically manifest with thrombocytopenia as in heparin-induced thrombocytopenia (HIT), they may also manifest with preserved platelet counts.","[['heparin', 'thrombocytopenia']]","[['heparin', 'preserved platelet counts'], ['heparin', 'thrombocytopenia'], ['heparin', 'HIT'], ['heparin', 'thrombocytopenia']]"
Vanishing bile duct and Stevens-Johnson syndrome associated with ciprofloxacin treated with tacrolimus.,"[['ciprofloxacin', 'Stevens-Johnson syndrome'], ['ciprofloxacin', 'Vanishing bile duct']]","[['ciprofloxacin', 'Vanishing bile duct'], ['tacrolimus', 'Stevens-Johnson syndrome'], ['ciprofloxacin', 'Stevens-Johnson syndrome']]"
"In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.","[['octreotide', 'alters bile acid composition'], ['octreotide', 'gallbladder stasis'], ['octreotide', 'hasten intrahepatic sludge'], ['octreotide', 'stone formation']]","[['octreotide','stone formation'], ['octreotide', 'adverse effects on gallbladder stasis'], ['octreotide', 'adverse effects on intrahepatic sludge']]"
"We report the case histories of identical twin brothers who developed concordant acute lymphoblastic leukemia at the age of 4 years and who later developed leukoencephalopathy and hydrocephalus related to central nervous system prophylaxis by, in the first case intrathecally administered methotrexate and, in the second by intrathecally administered methotrexate and cranial irradiation.","[['methotrexate', 'hydrocephalus'], ['methotrexate', 'hydrocephalus'], ['methotrexate', 'leukoencephalopathy'], ['methotrexate', 'leukoencephalopathy']]","[['methotrexate', 'leukoencephalopathy'], ['methotrexate', 'hydrocephalus'], ['methotrexate', 'central nervous system prophylaxis'], ['methotrexate', 'hypercephalus']]"
Alprazolam-induced mania: two clinical cases.,"[['Alprazolam', 'mania']]","[['Alprazolam','mania']]"
Seizures and transient blindness following intravenous pulse methylprednisolone in children with primary glomerulonephritis.,"[['methylprednisolone', 'Seizures'], ['methylprednisolone', 'transient blindness']]","[['methylprednisolone', 'Seizures'], ['methylprednisolone', 'transient blindness']]"
Cardiac arrest associated with sulprostone use during caesarean section.,"[['sulprostone', 'Cardiac arrest']]","[['sulprostone', 'Cardiac arrest']]"
"This is, to the best of our knowledge, the first report of a case in which agranulocytosis followed treatment with both propylthiouracil and methimazole in the same patient.","[['methimazole', 'agranulocytosis'], ['propylthiouracil', 'agranulocytosis']]","[['methimazole', 'agranulocytosis'], ['propylthiouracil', 'agranulocytosis']]"
Fatal acute encephalomyelitis after a single dose of intrathecal methotrexate.,"[['methotrexate', 'Fatal acute encephalomyelitis']]","[['methotrexate', 'Fatal acute encephalomyelitis']]"
The autopsy findings and a detailed medical history supported the conclusion that clozapine-induced hypersensitivity myocarditis was the most likely cause of death.,"[['clozapine', 'hypersensitivity myocarditis']]","[['clozapine', 'hypersensitivity myocarditis']]"
CASE: A malignant mixed mesodermal tumor was diagnosed in a 64-year-old woman with a bicornuate uterus while she was taking raloxifene for osteoporosis prevention.,"[['raloxifene', 'malignant mixed mesodermal tumor']]","[['raloxifene','malignant mixed mesodermal tumor']]"
A 40-year-old man with relapsing-remitting multiple sclerosis (MS) developed primary central nervous system lymphoma (PCNSL) after having received 21 doses of natalizumab monotherapy.,"[['natalizumab', 'PCNSL'], ['natalizumab', 'primary central nervous system lymphoma']]","[['natalizumab', 'PCNSL'], ['natalizumab', 'primary central nervous system lymphoma']]"
Generalized pustular psoriasis precipitated by trazodone in the treatment of depression.,"[['trazodone', 'Generalized pustular psoriasis']]","[['trazodone', 'Generalized pustular psoriasis']]"
"Although the existence of an acute pericarditis or an acute myocarditis as possible causes of the ST elevation cannot be fully ruled out, the sudden onset, prominent magnitude, and brief duration of the ST elevation are perhaps more indicative of an acute ischemic event, possibly related to a transient coronary vasoconstriction induced by the dopamine infusion.","[['dopamine', 'coronary vasoconstriction']]","[['dopamine', 'ST elevation'], ['dopamine', 'acute ischemic event'], ['dopamine', 'transient coronary vasoconstriction']]"
The observations suggest that testicular swelling and pain are side effects of desipramine.,"[['desipramine', 'pain'], ['desipramine', 'testicular swelling']]","[['desipramine', 'pain'], ['desipramine', 'testicular swelling']]"
