input,explanations,gold_relations
Lupus-like syndrome caused by 5-aminosalicylic acid in patients with inflammatory bowel disease.,Explanation: Explanation: Explanation: 5-aminosalicylic acid caused lupus-like syndrome in patients with inflammatory bowel disease.</s></s></s>,"[['5-aminosalicylic acid', 'Lupus-like syndrome']]"
"Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.",Explanation: Explanation: Explanation: Lidocaine was suspected to be the cause of methemoglobinemia due to displacement from protein binding by bupivacaine.</s></s></s>,"[['lidocaine', 'methemoglobinemia']]"
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,Explanation: Explanation: Explanation: Methemoglobinemia occurred after axillary block with bupivacaine and additional injection of lidocaine in the operative field.</s></s></s>,"[['bupivacaine', 'Methemoglobinemia'], ['lidocaine', 'Methemoglobinemia']]"
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,Explanation: Explanation: Explanation: Bupivacaine and lidocaine caused methemoglobinemia in a patient with chronic renal failure and ischemic heart disease.</s></s></s>,"[['bupivacaine', 'methemoglobinemia'], ['lidocaine', 'methemoglobinemia']]"
Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.,"Explanation: Explanation: Explanation: Aspirin induced asthma in a patient, leading to the detection of activated eosinophils in nasal polyps.</s></s></s>","[['aspirin', 'asthma']]"
An episode of subacute encephalopathy after the infusion of a moderate dose of methotrexate (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer.,Explanation: Explanation: Explanation: An episode of encephalopathy occurred after infusion of methotrexate in a young adult with metastastic gastric cancer.</s></s></s>,"[['methotrexate', 'encephalopathy']]"
"We believe that this represents an unusual case of moderate-dose MTX-induced neurotoxicity in a patient with gastric cancer, which has not previously been reported.",Explanation: Explanation: Explanation: Moderate-dose MTX caused neurotoxicity in a patient with gastric cancer.</s></s></s>,"[['MTX', 'neurotoxicity']]"
We describe a life threatening side effect of acute epoprostenol infusion (pulmonary edema) in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology.,Explanation: Explanation: Explanation: Pulmonary edema was a life threatening side effect of epoprostenol infusion.</s></s></s>,"[['epoprostenol', 'pulmonary edema']]"
A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,Explanation: Explanation: Explanation: Prednisone caused a pruritic bullous eruption in a 14-year-old girl with newly diagnosed SLE.</s></s></s>,"[['prednisone', 'pruritic bullous eruption']]"
Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.,Explanation: Explanation: Explanation: Hydroxyurea induced acute interstitial pneumonitis in a patient with essential thrombocythemia.</s></s></s>,"[['Hydroxyurea', 'acute interstitial pneumonitis']]"
The clinical course suggests that the interstitial pneumonitis was induced by hydroxyurea.,Explanation: Explanation: Explanation: Interstitial pneumonitis was induced by hydroxyurea.</s></s></s>,"[['hydroxyurea', 'interstitial pneumonitis']]"
This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.,Explanation: Explanation: Explanation: Hydroxyurea caused acute interstitial pneumonitis in a reported case.</s></s></s>,"[['hydroxyurea', 'acute interstitial pneumonitis']]"
Allergic and irritant contact dermatitis to calcipotriol.,Explanation: Explanation: Explanation: Irritant contact dermatitis was caused by calcipotriol.</s></s></s>,"[['calcipotriol', 'irritant contact dermatitis']]"
"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",Explanation: Explanation: Explanation: Calcipotriol may cause both irritation of the skin and allergic reactions.</s></s></s>,"[['Calcipotriol', 'allergic reactions'], ['Calcipotriol', 'irritation of the skin']]"
"The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an irritant type of reaction after treatment with calcipotriol.","Explanation: Explanation: Explanation: Treatment with calcipotriol can cause an irritant type of reaction, which can be differentiated from an allergic type of contact dermatitis by using different testing doses.</s></s></s>","[['calcipotriol', 'irritant type of reaction']]"
Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.,Explanation: Explanation: Explanation: Pravastatin caused marked exacerbation of Myotonia associated with sarcoidosis.</s></s></s>,"[['pravastatin', 'Myotonia']]"
Pravastatin is associated with myotonia in animals.,Explanation: Explanation: Explanation: Pravastatin is associated with myotonia in animals.</s></s></s>,"[['Pravastatin', 'myotonia']]"
"This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.",Explanation: Explanation: Explanation: Pravastatin may interact with sarcoidosis to produce severe myotonia in humans.</s></s></s>,"[['pravastatin', 'myotonia']]"
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.","Explanation: Explanation: Explanation: Hypersensitivity to aspirin can manifest itself in the form of angioedema, urticaria, and systemic anaphylactoid reaction.</s></s></s>","[['aspirin', 'angioedema'], ['aspirin', 'systemic anaphylactoid reaction'], ['aspirin', 'urticaria']]"
CONCLUSION: Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole.,Explanation: Explanation: Explanation: Fixed drug eruption was reported with omeprazole for the first time.</s></s></s>,"[['omeprazole', 'eruption']]"
Fixed drug eruption in hands caused by omeprazole.,Explanation: Explanation: Explanation: Omeprazole caused a fixed drug eruption in hands.</s></s></s>,"[['omeprazole', 'eruption']]"
The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.,Explanation: Explanation: Explanation: A case of fixed drug eruption occurred during omeprazole treatment.</s></s></s>,"[['omeprazole', 'eruption']]"
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.","Explanation: Explanation: Explanation: Salazosulfapyridine caused diffuse erythema, pustules, malaise, and fever up to 39 degrees C in a 26-year-old Japanese man.</s></s></s>","[['salazosulfapyridine', 'diffuse erythema'], ['salazosulfapyridine', 'fever up to 39 degrees C'], ['salazosulfapyridine', 'malaise'], ['salazosulfapyridine', 'pustules']]"
Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,Explanation: Explanation: Explanation: Acute generalized exanthematous pustulosis was induced by salazosulfapyridine in a patient with ulcerative colitis.</s></s></s>,"[['salazosulfapyridine', 'Acute generalized exanthematous pustulosis']]"
We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis.,Explanation: Explanation: Explanation: Salazosulfapyridine induced acute generalized exanthematous pustulosis in a patient with ulcerative colitis.</s></s></s>,"[['salazosulfapyridine', 'acute generalized exanthematous pustulosis']]"
CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230).,Explanation: Explanation: Explanation: Olanzapine caused an elevated serum CK concentration in a 39-year-old white Jewish schizophrenic man.</s></s></s>,"[['olanzapine', 'elevated serum CK concentration']]"
"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.",Explanation: Explanation: Explanation: Olanzapine may cause muscle injury with concomitant elevations of serum CK of muscle origin.</s></s></s>,"[['Olanzapine', 'muscle injury with concomitant elevations of serum CK']]"
Marked elevation of serum creatine kinase associated with olanzapine therapy.,Explanation: Explanation: Explanation: Olanzapine therapy caused marked elevation of serum creatine kinase.</s></s></s>,"[['olanzapine', 'elevation of serum creatine kinase']]"
OBJECTIVE: To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.,Explanation: Explanation: Explanation: Olanzapine therapy was associated with marked elevation of serum creatine kinase.</s></s></s>,"[['olanzapine', 'elevation of serum creatine kinase']]"
Diclofenac-associated hepatitis.,Explanation: Explanation: Explanation: Hepatitis was associated with Diclofenac.</s></s></s>,"[['Diclofenac', 'hepatitis']]"
"This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints.",Explanation: Explanation: Explanation: The patient developed hepatitis 5 weeks after being given diclofenac for increasing pain in the joints.</s></s></s>,"[['diclofenac', 'hepatitis']]"
"2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",Explanation: Explanation: Explanation: 2-CdA induced lymphocytopenia which improved the patient's psoriasis.</s></s></s>,"[['2-CdA', 'lymphocytopenia']]"
One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.,Explanation: Explanation: Explanation: Heparin therapy caused priapism in one case during a previous surgical operation to the knee.</s></s></s>,"[['heparin', 'priapism']]"
Priapism as a complication of heparin therapy.,Explanation: Explanation: Explanation: Priapism was reported as a complication of heparin therapy.</s></s></s>,"[['heparin', 'Priapism']]"
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,"Explanation: Explanation: Explanation: Heparin has been associated with both abnormal platelet aggregation and priapism, suggesting a possible role in the pathogenesis of this side effect.</s></s></s>","[['heparin', 'abnormal platelet aggregation'], ['heparin', 'priapism']]"
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.","Explanation: Explanation: Explanation: Clozapine carries a risk of agranulocytosis and neutropenia, which requires its discontinuation.</s></s></s>","[['clozapine', 'agranulocytosis'], ['clozapine', 'neutropenia']]"
"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).",Explanation: Explanation: Explanation: Patient developed diurnal variation of the white blood cells after taking clozapine.</s></s></s>,"[['clozapine', 'diurnal variation of the white blood cells']]"
Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.,Explanation: Explanation: Explanation: Acute neutrophilic dermatosis was induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.</s></s></s>,"[['all-trans-retinoic acid', 'Acute neutrophilic dermatosis']]"
Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.,Explanation: Explanation: Explanation: Findings on discontinuation and rechallenge suggested that paroxetine caused hair loss.</s></s></s>,"[['paroxetine', 'hair loss']]"
Hair loss associated with paroxetine treatment: a case report.,Explanation: Explanation: Explanation: Hair loss was associated with paroxetine treatment in a case report.</s></s></s>,"[['paroxetine', 'Hair loss']]"
We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.,Explanation: Explanation: Explanation: Paroxetine caused hair loss in a 37-year-old female.</s></s></s>,"[['paroxetine', 'hair loss']]"
"CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.",Explanation: Explanation: Explanation: Patients with insulin allergy may have concomitant protamine allergy.</s></s></s>,"[['insulin', 'protamine allergy']]"
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.","Explanation: Explanation: Explanation: Insulin caused angioedema, severe urticaria, and occasional wheezing, requiring insulin desensitization for the patient.</s></s></s>","[['insulin', 'angioedema'], ['insulin', 'angioedema'], ['insulin', 'severe urticaria'], ['insulin', 'severe urticaria'], ['insulin', 'wheezing'], ['insulin', 'wheezing']]"
"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",Explanation: Explanation: Explanation: The study aimed to determine if desensitization to both regular and NPH insulin could control allergic symptoms in a patient allergic to both types of insulin.</s></s></s>,"[['insulin', 'allergic symptoms'], ['NPH insulin', 'allergic symptoms']]"
Patients receiving neutral protamine Hagedorn (NPH) insulin are at increased risk for the development of protamine hypersensitivity.,Explanation: Explanation: Explanation: Patients receiving NPH insulin are at increased risk for the development of protamine hypersensitivity.</s></s></s>,"[['neutral protamine Hagedorn (NPH) insulin', 'protamine hypersensitivity']]"
Protamine allergy as a complication of insulin hypersensitivity: A case report.,Explanation: Explanation: Explanation: A case report of Protamine allergy as a complication of insulin hypersensitivity.</s></s></s>,"[['insulin', 'Protamine allergy']]"
She continued to receive regular insulin 4 times per day over the following 3 years with only occasional hives.,Explanation: Explanation: Explanation: Occasional hives were observed in a patient who was receiving regular insulin.</s></s></s>,"[['insulin', 'hives']]"
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.","Explanation: Explanation: Explanation: The patient had recurrence of urticaria and angioedema after using both NPH and insulin, which was resolved after desensitizing to regular insulin.</s></s></s>","[['insulin', 'angioedema'], ['NPH', 'angioedema'], ['insulin', 'urticaria'], ['NPH', 'urticaria']]"
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,Explanation: Explanation: Explanation: The infant became lethargic and poorly responsive after receiving brimonidine in each eye.</s></s></s>,"[['brimonidine', 'lethargic'], ['brimonidine', 'poorly responsive']]"
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,Explanation: Explanation: Explanation: A single drop of brimonidine caused apneic and lethargic symptoms in an 11-day-old infant.</s></s></s>,"[['brimonidine', 'apneic'], ['brimonidine', 'lethargic']]"
Apparent central nervous system depression in infants after the use of topical brimonidine.,Explanation: Explanation: Explanation: Topical brimonidine caused central nervous system depression in infants.</s></s></s>,"[['brimonidine', 'central nervous system depression']]"
CONCLUSIONS: Topical brimonidine may be associated with central nervous system depression in infants.,Explanation: Explanation: Explanation: Topical brimonidine may cause central nervous system depression in infants.</s></s></s>,"[['brimonidine', 'central nervous system depression']]"
PURPOSE: To report two cases in which topical brimonidine resulted in apparent central nervous system depression and unresponsiveness in an infant.,Explanation: Explanation: Explanation: Topical brimonidine caused central nervous system depression and unresponsiveness in an infant.</s></s></s>,"[['brimonidine', 'central nervous system depression']]"
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,"Explanation: Explanation: Explanation: Ceftriaxone was associated with elevated hepato-biliary enzymes and transient biliary stasis, despite its approval for the treatment of otitis media.</s></s></s>","[['ceftriaxone', 'elevated hepato-biliary enzymes'], ['ceftriaxone', 'transient biliary stasis']]"
Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.,Explanation: Explanation: Explanation: A case report showed that ceftriaxone use caused Hepato-biliary abnormalities.</s></s></s>,"[['ceftriaxone', 'Hepato-biliary abnormalities']]"
Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.,Explanation: Explanation: Explanation: Anterior lumbosacral radiculopathy was observed after intrathecal methotrexate treatment.</s></s></s>,"[['methotrexate', 'Anterior lumbosacral radiculopathy']]"
Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery.,Explanation: Explanation: Explanation: Intrathecal methotrexate administration caused progressive paraparesis in three children.</s></s></s>,"[['methotrexate', 'progressive paraparesis']]"
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",Explanation: Explanation: Explanation: Arsenic trioxide treatment caused a decrease in the D-dimers and a slight decrease in peripheral blood leukocytes.</s></s></s>,"[['arsenic trioxide', 'decrease in the D-dimers'], ['arsenic trioxide', 'slight decrease in peripheral blood leukocytes']]"
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.","Explanation: Explanation: Explanation: Minocycline therapy caused chills, fatigue, fever, generalized, pruritic, macular eruption, and night sweats in the patient.</s></s></s>","[['minocycline', 'chills'], ['minocycline', 'fatigue'], ['minocycline', 'fever'], ['minocycline', 'generalized, pruritic, macular eruption'], ['minocycline', 'night sweats']]"
"With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.",Explanation: Explanation: Explanation: Mononucleosis-like syndrome was caused by minocycline ingestion.</s></s></s>,"[[' minocycline', 'mononucleosis-like syndrome']]"
We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.,Explanation: Explanation: Explanation: Life-threatening toxicity occurred after treatment with topical 5-FU drug.</s></s></s>,"[['5-FU', 'life-threatening toxicity']]"
We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency.,Explanation: Explanation: Explanation: Treatment with topical 5-FU caused life-threatening complications in a cancer patient.</s></s></s>,"[['5-FU', 'life-threatening complications']]"
An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,Explanation: Explanation: Explanation: A case report proposed that venlafaxine use was associated with an acute ischaemic event.</s></s></s>,"[['venlafaxine', 'acute ischaemic event']]"
The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.,Explanation: Explanation: Explanation: Venlafaxine treatment was associated with ischaemic events due to its pharmacological and haemodynamic properties.</s></s></s>,"[['venlafaxine', 'ischaemic events']]"
This is the first report of a possible association between an acute cardiovascular event and venlafaxine.,Explanation: Explanation: Explanation: There is a possible association between venlafaxine and an acute cardiovascular event.</s></s></s>,"[['venlafaxine', 'acute cardiovascular event']]"
"We present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment.",Explanation: Explanation: Explanation: Acute myocardial ischaemia developed within the first week of venlafaxine treatment.</s></s></s>,"[['venlafaxine', 'acute myocardial ischaemia']]"
Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?,Explanation: Explanation: Explanation: Embryopathy was reported after cyclophosphamide (cytoxan) therapy.</s></s></s>,"[['cyclophosphamide', 'embryopathy']]"
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,Explanation: Explanation: Explanation: CP exposure caused multiple congenital anomalies and embryopathy phenotype.</s></s></s>,"[['CP', 'embryopathy'], ['CP', 'multiple congenital anomalies']]"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.","Explanation: Explanation: Explanation: In utero exposure to cyclosposphamide caused several manifestations including blepharophimosis, craniosynostosis, developmental delay, distal limb defects, flat nasal bridge, hypoplastic thumbs, and oligodactyly.</s></s></s>","[['cyclosposphamide', 'blepharophimosis'], ['cyclosposphamide', 'craniosynostosis'], ['cyclosposphamide', 'developmental delay'], ['cyclosposphamide', 'distal limb defects'], ['cyclosposphamide', 'flat nasal bridge'], ['cyclosposphamide', 'hypoplastic thumbs'], ['cyclosposphamide', 'oligodactyly']]"
"We conclude that (a) cyclophosphamide is a human teratogen, (b) a distinct phenotype exists, and (c) the safety of CP in pregnancy is in serious question.","Explanation: Explanation: Explanation: Cyclophosphamide is a human teratogen, as concluded in the text.</s></s></s>","[['cyclophosphamide', 'human teratogen']]"
"In all cases, seizures were controlled by withdrawal of phenytoin and reduction of drug levels.",Explanation: Explanation: Explanation: Seizures were controlled by withdrawal of phenytoin and reduction of drug levels.</s></s></s>,"[['phenytoin', 'seizures']]"
Paradoxical seizures in phenytoin toxicity.,Explanation: Explanation: Explanation: Seizures were observed in phenytoin toxicity.</s></s></s>,"[['phenytoin', 'seizures']]"
"We present three patients with paradoxical seizures; their serum phenytoin levels were 43.5 mcg/mL, 46.5 mcg/mL and 38.3 mcg/mL.",Explanation: Explanation: Explanation: Phenytoin caused paradoxical seizures in the three patients with elevated serum levels.</s></s></s>,"[['phenytoin', 'seizures']]"
CONCLUSIONS: This case suggests that losartan can induce late-onset angioedema in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.,Explanation: Explanation: Explanation: Losartan can induce late-onset angioedema in patients with normal renal function.</s></s></s>,"[['losartan', 'angioedema']]"
Losartan-induced angioedema.,Explanation: Explanation: Explanation: Losartan caused angioedema.</s></s></s>,"[['Losartan', 'angioedema']]"
OBJECTIVE: To report a case of angioedema associated with losartan administration.,Explanation: Explanation: Explanation: A case of angioedema associated with losartan administration was reported.</s></s></s>,"[['losartan', 'angioedema']]"
"The incidence of angioedema secondary to losartan, an angiotensin II receptor antagonist, is unknown.",Explanation: Explanation: Explanation: Losartan is known to cause angioedema as a secondary effect.</s></s></s>,"[['losartan', 'angioedema']]"
We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis.,Explanation: Explanation: Explanation: Danazol treatment for uterine fibromatosis caused multiple hepatic adenomas in a female acromegalic patient.</s></s></s>,"[['danazol', 'hepatic adenomas']]"
Heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy.,Explanation: Explanation: Explanation: Heparin induced thrombocytopenia is a rare and serious complication of anticoagulation therapy.</s></s></s>,"[['Heparin', 'thrombocytopenia']]"
Pediatric heparin-induced thrombocytopenia: management with Danaparoid (orgaran).,Explanation: Explanation: Explanation: Heparin induced thrombocytopenia was managed with Danaparoid (orgaran).</s></s></s>,"[['heparin', 'thrombocytopenia']]"
"There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children.","Explanation: Explanation: Explanation: Heparin induced thrombocytopenia in children, especially during cardiopulmonary bypass concomitant.</s></s></s>","[['heparin', 'thrombocytopenia']]"
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,"Explanation: Explanation: Explanation: Heparin induced thrombocytopenia and subsequent hemorrhagic complications in a 2-year-old child, which was successfully treated with Danaparoid (orgaran).</s></s></s>","[['heparin', 'hemorrhagic complications'], ['heparin', 'thrombocytopenia']]"
Taxane-induced glaucoma.,Explanation: Explanation: Explanation: Taxane induced glaucoma.</s></s></s>,"[['Taxane', 'glaucoma']]"
We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer.,Explanation: Explanation: Explanation: Doxetaxel therapy caused glaucoma in a case of metastatic breast cancer.</s></s></s>,"[['doxetaxel', 'glaucoma']]"
Acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,Explanation: Explanation: Explanation: Sodium phosphate enema caused acute hyperphosphatemia in a patient with liver dysfunction and chronic renal failure.</s></s></s>,"[['sodium phosphate', 'hyperphosphatemia']]"
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,Explanation: Explanation: Explanation: Sodium biphosphate and sodium phosphate caused acute hyperphosphatemia when administered rectally.</s></s></s>,"[['sodium biphosphate', 'hyperphosphatemia'], ['sodium phosphate', 'hyperphosphatemia']]"
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,Explanation: Explanation: Explanation: Prolongation of the QT interval and ventricular tachyarrhymias have been reported in patients on amiodarone therapy.</s></s></s>,"[['amiodarone', 'Prolongation of the QT interval'], ['amiodarone', 'ventricular tachyarrhymias']]"
We report a case of recurrent torsades de pointes following treatment with pentavalent antimonial drugs and amiodarone.,Explanation: Explanation: Explanation: Torsades de pointes recurred after treatment with amiodarone.</s></s></s>,"[['amiodarone', 'torsades de pointes']]"
