input,relations,prefix,gold_relations
a 77-year-old woman with no history of epilepsy presented a probable nonconvulsive status epilepticus while receiving continuous intravenous morphine for back pain relating to vertebral metastasis of a malignant lymphoma.,"[['morphine', 'nonconvulsive status epilepticus']]",ADE,"[['morphine', 'nonconvulsive status epilepticus']]"
a case of oculogyric crisis induced by metoclopramide is described in this paper.,"[['metoclopramide', 'oculogyric crisis']]",ADE,"[['metoclopramide', 'oculogyric crisis']]"
a case of prolonged suxamethonium apnoea successfully terminated by the infusion of a commercial preparation of serumcholinesterase is reported.,"[['suxamethonium', 'apnoea']]",ADE,"[['suxamethonium', 'apnoea']]"
a case of severe acute hepatitis caused by cyproterone acetate in a 71 year old man with prostatic carcinoma is reported with a review of the literature on hepatic reactions to this drug.,"[['cyproterone acetate', 'severe acute hepatitis']]",ADE,"[['cyproterone acetate', 'severe acute hepatitis']]"
a case of severe visual loss following a single dose of vincristine is described.,"[['vincristine', 'severe visual loss']]",ADE,"[['vincristine', 'severe visual loss']]"
"a case of skeletal fluorosis induced by prolonged treatment with niflumic acid, a fast-acting non-steroid antiinflammatory agent, is reported in a 35-year-old woman suffering from rheumatoid arthritis and treated, in addition, with corticosteroids.","[['niflumic acid', 'skeletal fluorosis']]",ADE,"[['niflumic acid', 'skeletal fluorosis']]"
a case of timolol-associated heart failure in a 73-year old white man is reported.,"[['timolol', 'heart failure']]",ADE,"[['timolol', 'heart failure']]"
a case of tuberculosis in a patient on efalizumab and etanercept for treatment of refractory palmopustular psoriasis and psoriatic arthritis.,"[['efalizumab', 'tuberculosis'], ['etanercept', 'tuberculosis']]",ADE,"[['efalizumab', 'tuberculosis'], ['etanercept', 'tuberculosis']]"
a case report of fatal dapsone-induced agranulocytosis in an indian mid-borderline leprosy patient.,"[['dapsone', 'agranulocytosis']]",ADE,"[['dapsone', 'agranulocytosis']]"
a cause-effect relationship to capecitabine was suggested due to resolution of headache with capecitabine withdrawal and reappearance with capecitabine rechallenge.,"[['capecitabine', 'headache']]",ADE,"[['capecitabine', 'headache']]"
a combination of behavioural and cognitive adverse effects is illustrated in this case report of a recurrent triazolam-induced eating disorder.,"[['triazolam', 'eating disorder']]",ADE,"[['triazolam', 'eating disorder']]"
a fatal case of pancytopenia due to levomepromazine.,"[['levomepromazine', 'pancytopenia']]",ADE,"[['levomepromazine', 'fatal case of pancytopenia']]"
a lethal complication of peripheral vein vasopressin infusion.,"[['vasopressin', 'a lethal complication of peripheral vein vasopressin infusion']]",ADE,"[['vasopressin', 'lethal complication']]"
a lupus-like syndrome associated with infliximab therapy.,"[['infliximab', 'a lupus-like syndrome']]",ADE,"[['infliximab', 'lupus-like syndrome']]"
a patient developed optic neuropathy while being treated with isoniazid and ethambutol.,"[['ethambutol', 'optic neuropathy'], ['isoniazid', 'optic neuropathy']]",ADE,"[['ethambutol', 'optic neuropathy'], ['isoniazid', 'optic neuropathy']]"
"a patient with monocular open-angle glaucoma had trichiasis, a condition associated with the use of a prostaglandin analog.","[['prostaglandin analog', 'trichiasis']]",ADE,"[['prostaglandin', 'trichiasis']]"
a patient with the wolff-parkinson-white syndrome presented with incessant orthodromic atrioventricular tachycardia following initiation of procainamide therapy.,"[['procainamide', 'atrioventricular tachycardia']]",ADE,"[['procainamide', 'incessant orthodromic atrioventricular tachycardia']]"
a review of the literature showed no previous description of this pattern in benzodiazepine coma.,"[['benzodiazepine', 'coma']]",ADE,"[['benzodiazepine', 'coma']]"
a search of the united states food and drug administration's adverse event reporting system identified nine cases of oxcarbazepine-associated angioedema in pediatric patients aged 16 years and younger.,"[['oxcarbazepine', 'angioedema']]",ADE,"[['oxcarbazepine', 'angioedema']]"
a second patient with a similar glucose tolerance test result showed postprandial hyperglycemia when treated similarly with betamethasone valerate cream 0.1%.,"[['betamethasone valerate', 'postprandial hyperglycemia']]",ADE,"[['betamethasone valerate', 'postprandial hyperglycemia']]"
a third patient experienced disabling neurotoxicity in the extremity of a prior ulnar nerve and tendon transposition after receiving paclitaxel.,"[['paclitaxel', 'neurotoxicity']]",ADE,"[['paclitaxel', 'disabling neurotoxicity']]"
a typical case of dextran-40 associated acute renal failure is presented.,"[['dextran-40', 'acute renal failure']]",ADE,"[['dextran-40', 'acute renal failure']]"
"according to the literature, chlorambucil central nervous toxicity is found almost exclusively in childhood nephrotic syndrome.","[['chlorambucil', 'central nervous toxicity']]",ADE,"[['chlorambucil', 'central nervous toxicity']]"
"accordingly, camptocormia is a dose-dependent side effect of valproate.","[['valproate', 'camptocormia']]",ADE,"[['valproate', 'camptocormia']]"
acetazolamide-accelerated anticonvulsant osteomalacia.,"[['acetazolamide', 'osteomalacia']]",ADE,"[['acetazolamide', 'osteomalacia']]"
actinomycin d associated hepatic veno-occlusive disease--a report of 2 cases.,"[['actinomycin d', 'hepatic veno-occlusive disease']]",ADE,"[['actinomycin d', 'hepatic veno-occlusive disease']]"
acute acoustic nerve palsy associated with vincristine therapy.,"[['vincristine', 'acute acoustic nerve palsy']]",ADE,"[['vincristine', 'acute acoustic nerve palsy']]"
acute bilateral phrenic neuropathy following treatment with adalimumab.,"[['adalimumab', 'acute bilateral phrenic neuropathy']]",ADE,"[['adalimumab', 'acute bilateral phrenic neuropathy']]"
acute drug induced hepatitis due to erlotinib.,"[['erlotinib', 'acute drug induced hepatitis']]",ADE,"[['erlotinib', 'hepatitis']]"
acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,"[['sodium phosphate enema', 'acute hyperphosphatemia']]",ADE,"[['sodium phosphate', 'hyperphosphatemia']]"
acute myocardial necrosis during administration of amsacrine.,"[['amsacrine', 'acute myocardial necrosis']]",ADE,"[['amsacrine', 'acute myocardial necrosis']]"
acute pancreatitis after long-term 5-aminosalicylic acid therapy.,"[['5-aminosalicylic acid', 'acute pancreatitis']]",ADE,"[['5-aminosalicylic acid', 'acute pancreatitis']]"
acute pancreatitis associated with danazol treatment for endometriosis.,"[['danazol', 'acute pancreatitis']]",ADE,"[['danazol', 'acute pancreatitis']]"
acute renal failure in a patient receiving treatment with suramin.,"[['suramin', 'acute renal failure']]",ADE,"[['suramin', 'acute renal failure']]"
acute renal failure most likely was secondary to the nephrotoxic effect of captopril on chronically hypoperfused kidneys.,"[['captopril', 'acute renal failure']]",ADE,"[['captopril', 'acute renal failure']]"
acute respiratory depression as a complication of nebulised morphine.,"[['morphine', 'acute respiratory depression']]",ADE,"[['morphine', 'acute respiratory depression']]"
acute reversible ataxo-myoclonic encephalopathy with flecainide therapy.,"[['flecainide', 'ataxo-myoclonic encephalopathy']]",ADE,"[['flecainide', 'acute reversible ataxo-myoclonic encephalopathy']]"
acute sensorineural hearing loss following intravenous ketoralac administration.,"[['ketoralac', 'sensorineural hearing loss']]",ADE,"[['ketoralac', 'acute sensorineural hearing loss']]"
adenosine-induced ventricular fibrillation.,"[['adenosine', 'ventricular fibrillation']]",ADE,"[['adenosine', 'ventricular fibrillation']]"
administration of cisplatin in three patients with carboplatin hypersensitivity: is skin testing useful?,"[['carboplatin', 'hypersensitivity']]",ADE,"[['carboplatin', 'hypersensitivity']]"
administration of steroid and decreasing the dose of ptu produced a good clinical response and the anca disappeared.,"[['ptu', 'anca']]",ADE,"[['ptu', 'anca']]"
"after an extensive review of the literature, we believe that this is the first communication of the successful use of amiodarone to control hyperthyroidism in a patient with ptu-induced fulminant hepatitis.","[['ptu', 'fulminant hepatitis']]",ADE,"[['ptu', 'fulminant hepatitis']]"
"after excluding other causes of long qt syndrome, the hcq was suspected as the cause of her ventricular tachycardia.","[['hcq', 'ventricular tachycardia']]",ADE,"[['hcq', 'ventricular tachycardia']]"
"after extensive neurological 'work up', we realized that the anisocoria was related to the transdermal scopolamine patch that we had prescribed for weaning off the opioid.","[['transdermal scopolamine patch', 'anisocoria']]",ADE,"[['scopolamine', 'anisocoria']]"
"after ruling out a hydrotelluric source of fluorine, the patient's fluorosis was linked to chronic use of niflumic acid, following the publication in 1978 of the 2 previously reported cases affected by this drug.","[['niflumic acid', 'fluorosis']]",ADE,"[['niflumic acid', 'fluorosis']]"
"after stopping indapamide, glucose tolerance impairing may be reversed.","[['indapamide', 'glucose tolerance impairing']]",ADE,"[['indapamide', 'glucose tolerance impairing']]"
"after the dose of methylprednisolone was reduced from 40 mg to 20 mg i.v. q6h and shifted to other anti-asthma treatment by procaterol metered dose inhaler via spacer, the psychotic reaction disappeared a few hours later.","[['methylprednisolone', 'psychotic reaction']]",ADE,"[['methylprednisolone', 'psychotic reaction']]"
"after the patient discontinued rifampicin, the skin lesions cleared completely within 5 weeks without any systemic medication.","[['rifampicin', 'skin lesions']]",ADE,"[['rifampicin', 'skin lesions']]"
"akathisia appeared to be a common side effect of fluoxetine and generally responded well to treatment with the beta-adrenergic antagonist propranolol, dose reduction, or both.","[['fluoxetine', 'akathisia']]",ADE,"[['fluoxetine', 'akathisia']]"
"alopecia, nausea, and vomiting were attributed to the cyclophosphamide component of the therapy.","[['cyclophosphamide', 'alopecia'], ['cyclophosphamide', 'nausea'], ['cyclophosphamide', 'vomiting']]",ADE,"[['cyclophosphamide', 'alopecia'], ['cyclophosphamide', 'nausea'], ['cyclophosphamide', 'vomiting']]"
alprazolam-induced mania: two clinical cases.,"[['alprazolam', 'mania']]",ADE,"[['alprazolam', 'mania']]"
"although fluoxetine-induced headache occurred in one patient, the other five reported no side effects at the doses used.","[['fluoxetine', 'headache']]",ADE,"[['fluoxetine', 'headache']]"
"although neurotoxicity is a frequent complication of methotrexate therapy, fatal acute neurotoxicity is extremely uncommon, especially in adults.","[['methotrexate', 'neurotoxicity'], ['methotrexate', 'neurotoxicity']]",ADE,"[['methotrexate', 'fatal acute neurotoxicity'], ['methotrexate', 'neurotoxicity']]"
"although praziquantel administration may have been effective in killing the parasite in both patients, we are concerned about the production of marked inflammation as a result of treatment.","[['praziquantel', 'marked inflammation']]",ADE,"[['praziquantel', 'inflammation']]"
"although the essential cause of pv is unclear, its onset has occasionally been associated with drug therapy, in particular penicillamine.","[['penicillamine', 'pv']]",ADE,"[['penicillamine', 'pv']]"
amifostine-induced fever: case report and review of the literature.,"[['amifostine', 'fever']]",ADE,"[['amifostine', 'fever']]"
amiodarone-induced dysthyroidism.,"[['amiodarone', 'dysthyroidism']]",ADE,"[['amiodarone', 'dysthyroidism']]"
amphotericin b nephrotoxicity in humans decreased by salt repletion.,"[['amphotericin b', 'nephrotoxicity']]",ADE,"[['amphotericin b', 'nephrotoxicity']]"
amphotericin b overdose in pediatric patients with associated cardiac arrest.,"[['amphotericin b', 'cardiac arrest']]",ADE,"[['amphotericin b', 'cardiac arrest']]"
ampicillin may aggravate clinical and experimental myasthenia gravis.,"[['ampicillin', 'myasthenia gravis']]",ADE,"[['ampicillin', 'myasthenia gravis']]"
an 11-year-old boy developed a severe enteropathy 2 years after initiation of clofazimine treatment for graft-versus-host disease.,"[['clofazimine', 'enteropathy']]",ADE,"[['clofazimine', 'severe enteropathy']]"
an amiodarone optic neuropathy has been described.,"[['amiodarone', 'optic neuropathy']]",ADE,"[['amiodarone', 'optic neuropathy']]"
an infant who developed pancreatitis during meglumine antimoniate treatment for visceral leishmaniasis and who was successfully treated with a combination of allopurinol and ketoconazole is reported.,"[['meglumine antimoniate', 'pancreatitis']]",ADE,"[['meglumine antimoniate', 'pancreatitis']]"
an insulin-dependent diabetic patient with nephropathy developed severe acidosis after treatment with acetazolamide for glaucoma.,"[['acetazolamide', 'severe acidosis']]",ADE,"[['acetazolamide', 'severe acidosis']]"
anaphylactoid reaction to methylprednisolone pulsed therapy for multiple sclerosis.,"[['methylprednisolone', 'anaphylactoid reaction']]",ADE,"[['methylprednisolone', 'anaphylactoid reaction']]"
anaphylactoid reactions with intraperitoneal cisplatin.,"[['cisplatin', 'anaphylactoid reactions']]",ADE,"[['cisplatin', 'anaphylactoid reactions']]"
anaphylaxis from isoniazid is a possible side effect to this commonly prescribed antibiotic.,"[['isoniazid', 'anaphylaxis']]",ADE,"[['isoniazid', 'anaphylaxis']]"
anisocoria from transdermal scopolamine.,"[['transdermal scopolamine', 'anisocoria']]",ADE,"[['scopolamine', 'anisocoria']]"
anterior ischemic optic neuropathy secondary to interferon alfa.,"[['interferon alfa', 'anterior ischemic optic neuropathy']]",ADE,"[['interferon alfa', 'anterior ischemic optic neuropathy']]"
apparent central nervous system depression in infants after the use of topical brimonidine.,"[['brimonidine', 'central nervous system depression']]",ADE,"[['brimonidine', 'central nervous system depression']]"
"argatroban is hepatically cleared and may be the preferred direct thrombin inhibitor in the presence of significant renal impairment, but conversely has prolonged effects in hepatic failure.","[['argatroban', 'hepatic failure']]",ADE,"[['argatroban', 'hepatic failure']]"
arterial hypertension associated with topical ocular use of phenylephrine in dogs.,"[['phenylephrine', 'arterial hypertension']]",ADE,"[['phenylephrine', 'arterial hypertension']]"
"as these cases revealed, close monitoring of blood chemistry is mandatory after starting spironolactone, and patients should be advised to stop spironolactone immediately if diarrhoea develops.","[['spironolactone', 'diarrhoea']]",ADE,"[['spironolactone', 'diarrhoea']]"
"aseptic meningitis, hemolytic anemia, hepatitis, and orthostatic hypotension in a patient treated with trimethoprim-sulfamethoxazole.","[['trimethoprim-sulfamethoxazole', 'aseptic meningitis'], ['trimethoprim-sulfamethoxazole', 'aseptic meningitis'], ['trimethoprim-sulfamethoxazole', 'hemolytic anemia'], ['trimethoprim-sulfamethoxazole', 'hemolytic anemia'], ['trimethoprim-sulfamethoxazole', 'hepatitis'], ['trimethoprim-sulfamethoxazole', 'hepatitis'], ['trimethoprim-sulfamethoxazole', 'orthostatic hypotension'], ['trimethoprim-sulfamethoxazole', 'orthostatic hypotension']]",ADE,"[['sulfamethoxazole', 'aseptic meningitis'], ['trimethoprim', 'aseptic meningitis'], ['sulfamethoxazole', 'hemolytic anemia'], ['trimethoprim', 'hemolytic anemia'], ['sulfamethoxazole', 'hepatitis'], ['trimethoprim', 'hepatitis'], ['sulfamethoxazole', 'orthostatic hypotension'], ['trimethoprim', 'orthostatic hypotension']]"
asterixis induced by carbamazepine therapy.,"[['carbamazepine', 'asterixis']]",ADE,"[['carbamazepine', 'asterixis']]"
atenolol-induced pseudolymphoma.,"[['atenolol', 'pseudolymphoma']]",ADE,"[['atenolol', 'pseudolymphoma']]"
atrial fibrillation after vardenafil therapy.,"[['vardenafil', 'atrial fibrillation']]",ADE,"[['vardenafil', 'atrial fibrillation']]"
"attempts were made to stop and then restart the theophylline therapy at progressively lower doses; however, with each attempt, the patient's reaction to the drug became more toxic, with serum theophylline levels ranging between 99.9 and 149.9 micromol/l (18 and 27 microg/ml).","[['theophylline', 'toxic'], ['theophylline', 'toxic']]",ADE,"[['theophylline', 'reaction to the drug became more toxic'], ['theophylline', 'reaction to the drug became more toxic']]"
atypical neuroleptic malignant syndrome associated with olanzapine.,"[['olanzapine', 'atypical neuroleptic malignant syndrome']]",ADE,"[['olanzapine', 'neuroleptic malignant syndrome']]"
background: how to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.,"[['clozapine', 'granulocytopenia']]",ADE,"[['clozapine', 'granulocytopenia']]"
background: hydroxyurea is a cytostatic agent used to treat myeloproliferative disorders and long-term treatment is associated with mucocutaneous adverse events and nail hyperpigmentation.,"[['hydroxyurea', 'mucocutaneous adverse events'], ['hydroxyurea', 'nail hyperpigmentation']]",ADE,"[['hydroxyurea', 'mucocutaneous adverse events'], ['hydroxyurea', 'nail hyperpigmentation']]"
"based on these findings, the patient was diagnosed with diabetes insipidus secondary to lithium therapy and was treated successfully with amiloride.","[['lithium', 'diabetes insipidus']]",ADE,"[['lithium', 'diabetes insipidus']]"
bisphosphonate-related osteonecrosis of the jaw (bronj) is reported in up to 18.6% of patients treated with intravenous bisphosphonates and can result in significant morbidity.,"[['bisphosphonates', 'bisphosphonate-related osteonecrosis of the jaw']]",ADE,"[['bisphosphonate', 'osteonecrosis of the jaw']]"
bone formation induced in an infant by systemic prostaglandin-e2 administration.,"[['prostaglandin-e2', 'bone formation']]",ADE,"[['prostaglandin-e2', 'bone formation']]"
"both colchicine and statin therapy may be associated with myopathy, which usually occurs after several months of therapy.","[['colchicine', 'myopathy'], ['statin', 'myopathy']]",ADE,"[['colchicine', 'myopathy'], ['statin', 'myopathy']]"
bradycardia and congestive heart failure associated with ocular timolol maleate.,"[['timolol maleate', 'bradycardia'], ['timolol maleate', 'congestive heart failure']]",ADE,"[['timolol maleate', 'bradycardia'], ['timolol maleate', 'congestive heart failure']]"
bromocriptine-induced schizophrenia.,"[['bromocriptine', 'schizophrenia']]",ADE,"[['bromocriptine', 'schizophrenia']]"
can propofol precipitate pancreatitis in patients with cushing's syndrome?,"[['propofol', 'pancreatitis']]",ADE,"[['propofol', 'pancreatitis']]"
capecitabine-induced multifocal leukoencephalopathy: a report of five cases.,"[['capecitabine', 'multifocal leukoencephalopathy']]",ADE,"[['capecitabine', 'multifocal leukoencephalopathy']]"
captopril-induced lichen planus pemphigoides with pemphigus-like features.,"[['captopril', 'lichen planus pemphigoides']]",ADE,"[['captopril', 'lichen planus pemphigoides']]"
carbamazepine-induced hyperammonemia.,"[['carbamazepine', 'hyperammonemia']]",ADE,"[['carbamazepine', 'hyperammonemia']]"
cardiac arrest after esmolol administration: a review of acute beta-blocker toxicity.,"[['esmolol', 'cardiac arrest']]",ADE,"[['esmolol', 'cardiac arrest']]"
cardiac arrest associated with sulprostone use during caesarean section.,"[['sulprostone', 'cardiac arrest']]",ADE,"[['sulprostone', 'cardiac arrest']]"
cardiopulmonary arrest following intravenous phenytoin loading.,"[['phenytoin', 'cardiopulmonary arrest']]",ADE,"[['phenytoin', 'cardiopulmonary arrest']]"
case 4: a 61-year-old male alcoholic who remained completely abstinent while taking cyanamide for 3 years showed slight elevation of serum transaminases.,"[['cyanamide', 'elevation of serum transaminases']]",ADE,"[['cyanamide', 'elevation of serum transaminases']]"
case report of withdrawal dyskinesia associated with amoxapine.,"[['amoxapine', 'withdrawal dyskinesia']]",ADE,"[['amoxapine', 'dyskinesia']]"
case report: mannitol nephrotoxicity syndrome: role of hemodialysis and postulate of mechanisms.,"[['mannitol', 'nephrotoxicity']]",ADE,"[['mannitol', 'nephrotoxicity syndrome']]"
case report: we report a case of intracerebral hemorrhage occurring in a middle-aged man who suffered from chronic sinusitis and had been ingesting pseudoephedrine daily for one year.,"[['pseudoephedrine', 'intracerebral hemorrhage']]",ADE,"[['pseudoephedrine', 'intracerebral hemorrhage']]"
case studies in heparin-induced thrombocytopenia.,"[['heparin', 'thrombocytopenia']]",ADE,"[['heparin', 'thrombocytopenia']]"
case: we present an 11-year old male with budd-chiari syndrome who experienced profound worsening of chronic aphthous ulcers after immunosuppressive therapy was changed from tacrolimus to sirolimus.,"[['sirolimus', 'chronic aphthous ulcers'], ['tacrolimus', 'chronic aphthous ulcers']]",ADE,"[['sirolimus', 'worsening of chronic aphthous ulcers'], ['tacrolimus', 'worsening of chronic aphthous ulcers']]"
"cases: ""a"" was an 8-year-old boy with attention deficit and chronic tic disorder who developed obsessive-compulsive symptoms within 2 weeks of starting risperidone.","[['risperidone', 'obsessive-compulsive symptoms']]",ADE,"[['risperidone', 'obsessive-compulsive symptoms']]"
cephalexin rash in infectious mononucleosis.,"[['cephalexin', 'rash']]",ADE,"[['cephalexin', 'cephalexin rash']]"
chlorambucil central nervous toxicity: a significant side effect of chlorambucil therapy in childhood nephrotic syndrome.,"[['chlorambucil', 'chlorambucil central nervous toxicity']]",ADE,"[['chlorambucil', 'central nervous toxicity']]"
chlorambucil-induced chromosome damage to human lymphocytes is dose-dependent and cumulative.,"[['chlorambucil', 'chromosome damage to human lymphocytes']]",ADE,"[['chlorambucil', 'chromosome damage']]"
cholesterol crystal embolization-associated renal failure after therapy with recombinant tissue-type plasminogen activator.,"[['recombinant tissue-type plasminogen activator', 'cholesterol crystal embolization-associated renal failure'], ['recombinant tissue-type plasminogen activator', 'cholesterol crystal embolization-associated renal failure']]",ADE,"[['tissue-type plasminogen activator', 'cholesterol crystal embolization'], ['tissue-type plasminogen activator', 'renal failure']]"
choroidal hemorrhage associated with systemic tissue plasminogen activator.,"[['systemic tissue plasminogen activator', 'choroidal hemorrhage']]",ADE,"[['tissue plasminogen activator', 'choroidal hemorrhage']]"
chronic fentanyl application induces adrenocortical insufficiency.,"[['fentanyl', 'adrenocortical insufficiency']]",ADE,"[['fentanyl', 'adrenocortical insufficiency']]"
ciprofloxacin-induced renal insufficiency in cystic fibrosis.,"[['ciprofloxacin', 'renal insufficiency']]",ADE,"[['ciprofloxacin', 'renal insufficiency']]"
ciprofloxacin-induced toxic epidermal necrolysis in a patient with systemic lupus erythematosus.,"[['ciprofloxacin', 'toxic epidermal necrolysis']]",ADE,"[['ciprofloxacin', 'toxic epidermal necrolysis']]"
clearance rates of cerivastatin metabolites in a patient with cerivastatin-induced rhabdomyolysis.,"[['cerivastatin', 'rhabdomyolysis']]",ADE,"[['cerivastatin', 'rhabdomyolysis']]"
clinical profile of oxcarbazepine-related angioneurotic edema: case report and review.,"[['oxcarbazepine', 'angioneurotic edema']]",ADE,"[['oxcarbazepine', 'angioneurotic edema']]"
"clinicians should be aware that an erythematous and exfoliative rash may be induced by temozolomide, and be familiar with the pharmacologic and supportive measures necessary for its treatment.","[['temozolomide', 'erythematous and exfoliative rash']]",ADE,"[['temozolomide', 'exfoliative rash']]"
clofazimine enteropathy in a pediatric bone marrow transplant recipient.,"[['clofazimine', 'enteropathy']]",ADE,"[['clofazimine', 'enteropathy']]"
clonidine-induced bradycardia in patients with spinal cord injury.,"[['clonidine', 'bradycardia']]",ADE,"[['clonidine', 'bradycardia']]"
comeoscleral perforation after pterygium excision and intraoperative mitomycin c.,"[['mitomycin c', 'comeoscleral perforation']]",ADE,"[['mitomycin c', 'comeoscleral perforation']]"
conclusion: a patient with chf and esrd developed myoclonic muscle spasms after receiving dobutamine by continuous i.v. infusion.,"[['dobutamine', 'myoclonic muscle spasms']]",ADE,"[['dobutamine', 'myoclonic muscle spasms']]"
conclusion: significant weight loss is a potential adverse event in patients with rheumatoid arthritis treated with leflunomide.,"[['leflunomide', 'weight loss']]",ADE,"[['leflunomide', 'weight loss']]"
conclusion: tamoxifen may cause malignant transformation of endometriosis through atypical endometriosis even in the postmenopausal state.,"[['tamoxifen', 'malignant transformation of endometriosis']]",ADE,"[['tamoxifen', 'malignant transformation of endometriosis']]"
"conclusion: this is, to our knowledge, the first report of severe myelopathy following accidental intrathecal administration of doxorubicin.","[['doxorubicin', 'severe myelopathy']]",ADE,"[['doxorubicin', 'severe myelopathy']]"
"conclusion: to the best of our knowledge, this is the first time colchicine intoxication in this age group has been described in the english literature.","[['colchicine', 'intoxication']]",ADE,"[['colchicine', 'colchicine intoxication']]"
conclusions: amantadine can cause reversible corneal edema but can irreversibly reduce the density of endothelial cells.,"[['amantadine', 'corneal edema']]",ADE,"[['amantadine', 'reversible corneal edema']]"
conclusions: amphotericin b seems to be the probable cause of the seizures.,"[['amphotericin b', 'seizures']]",ADE,"[['amphotericin b', 'seizures']]"
"conclusions: clinicians should be aware of this adverse reaction when facing similar complex neurologic symptoms in patients who are receiving the antibiotic treatment described here, especially vancomycin.","[['vancomycin', 'complex neurologic symptoms']]",ADE,"[['vancomycin', 'neurologic symptoms']]"
conclusions: clinicians should be aware that crohn's disease is a potential novel adverse drug effect of copaxone.,"[['copaxone', ""crohn's disease""]]",ADE,"[['copaxone', ""crohn's disease""]]"
conclusions: clinicians treating elderly patients with olanzapine should be aware of the potential for rapidly developing hyperglycemia and monitor such patients accordingly.,"[['olanzapine', 'hyperglycemia']]",ADE,"[['olanzapine', 'hyperglycemia']]"
"conclusions: ltg overdose may result in a severe but reversible encephalopathy, a previously undescribed phenomenon.","[['ltg', 'encephalopathy']]",ADE,"[['ltg', 'encephalopathy']]"
