text,gpt3_generated_labels,gold_labels
"discussion: olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum ck of muscle origin.","[['olanzapine', 'muscle injury']]","[['olanzapine', 'muscle injury with concomitant elevations of serum ck']]"
we report two adults who received gabapentin (gbp) and subsequently developed behavioural side effects.,"[['gabapentin', 'behavioural side effects']]","[['gabapentin', 'behavioural side effects'], ['gbp', 'behavioural side effects']]"
"in this report, two cases of et which evolved into al without prior exposure to radiation or alkylating agents, and which were treated with long-term hydroxyurea therapy, are described.","[['hydroxyurea', 'et'], ['hydroxyurea', 'al']]","[['hydroxyurea', 'al']]"
a 64-year-old man presented with proteinuria during postoperative interferon (ifn)-beta therapy against malignant melanoma.,"[['interferon beta', 'proteinuria']]","[['interferon (ifn)-beta', 'proteinuria']]"
we report a case of 48-year-old woman with seizure disorder on divalproex sodium (depakote) who presented with dyspnea.,"[['divalproex sodium', 'dyspnea']]","[['depakote', 'dyspnea'], ['divalproex sodium', 'dyspnea']]"
"typical symptoms of active cd occurred 11, 12, and 26 months after start of etanercept therapy, respectively.","[['etanercept', 'typical symptoms of active cd']]","[['etanercept', 'cd']]"
acetazolamide-accelerated anticonvulsant osteomalacia.,"[['acetazolamide', 'osteomalacia']]","[['acetazolamide', 'osteomalacia']]"
the reported case represents an unusual association between medication with the proton pump inhibitor lansoprazole and the development of collagenous colitis suggesting the importance of evaluation of drug use in patients with microscopic colitis.,"[['lansoprazole', 'collagenous colitis']]","[['lansoprazole', 'collagenous colitis']]"
pulmonary gold toxicity.,"[['gold', 'pulmonary toxicity']]","[['gold', 'pulmonary gold toxicity']]"
cryptococcus neoformans fatal sepsis in a chronic lymphocytic leukemia patient treated with alemtuzumab: case report and review of the literature.,"[['alemtuzumab', 'cryptococcus neoformans fatal sepsis']]","[['alemtuzumab', 'cryptococcus neoformans fatal sepsis']]"
"three years later, treatment with ampicillin caused another episode of cholestatic hepatitis with cholestasis and duct paucity on rebiopsy.","[['ampicillin', 'cholestatic hepatitis']]","[['ampicillin', 'cholestasis'], ['ampicillin', 'cholestatic hepatitis'], ['ampicillin', 'duct paucity']]"
we attribute the clinical and radiographic findings to cytotoxic edema secondary to intrathecal methotrexate.,"[['methotrexate', 'cytotoxic edema']]","[['methotrexate', 'cytotoxic edema']]"
methotrexate is an effective but potentially toxic treatment for psoriasis.,"[['methotrexate', 'psoriasis']]","[['methotrexate', 'potentially toxic']]"
"conclusions: clinicians should be aware of this adverse reaction when facing similar complex neurologic symptoms in patients who are receiving the antibiotic treatment described here, especially vancomycin.","[['vancomycin', 'complex neurologic symptoms']]","[['vancomycin', 'neurologic symptoms']]"
the observation of cutaneous vasculitis during administration of propylthiouracil suggested that clinical awareness of this complication should be of considerable importance.,"[['propylthiouracil', 'cutaneous vasculitis']]","[['propylthiouracil', 'cutaneous vasculitis']]"
managing cardiovascular collapse in severe flecainide overdose without recourse to extracorporeal therapy.,"[['flecainide', 'cardiovascular collapse']]","[['flecainide', 'cardiovascular collapse']]"
this report describes a case of bilateral ptosis induced by chloroquine.,"[['chloroquine', 'bilateral ptosis']]","[['chloroquine', 'bilateral ptosis']]"
we report the occurrence of renal failure due to cholesterol crystal embolization following thrombolytic therapy with intravenous recombinant tissue-type plasminogen activator (t-pa).,"[['recombinant tissue-type plasminogen activator', 'renal failure']]","[['recombinant tissue-type plasminogen activator', 'cholesterol crystal embolization'], ['t-pa', 'cholesterol crystal embolization'], ['recombinant tissue-type plasminogen activator', 'renal failure'], ['t-pa', 'renal failure']]"
"it is concluded that 'cerebral atrophy' on ct scans may represent an accumulative effect of acth and that acth should be given with the utmost discretion, and in as low a dose as possible.","[['acth', 'cerebral atrophy']]","[['acth', 'cerebral atrophy']]"
toxic hepatitis due to combination therapy with methotrexate and etretinate in psoriasis.,"[['etretinate', 'methotrexate', 'toxic hepatitis']]","[['etretinate', 'toxic hepatitis'], ['methotrexate', 'toxic hepatitis']]"
an unusual case of ecstasy poisoning.,"[['ecstasy', 'unusual case']]","[['ecstasy', 'ecstasy poisoning']]"
recombinant viia concentrate in the management of bleeding following prothrombin complex concentrate-related myocardial infarction in patients with haemophilia and inhibitors.,"[['recombinant viia concentrate', 'myocardial infarction']]","[['prothrombin complex concentrate', 'myocardial infarction']]"
discussion: to our knowledge this is the first reported case of tuberculous uveitis following treatment with etanercept.,"[['etanercept', 'tuberculous uveitis']]","[['etanercept', 'tuberculous uveitis']]"
2-cda typically causes a long-lasting state of immunodeficiency and the profound influence of this drug on the immune system has raised questions concerning the emergence of secondary neoplasms after its use.,"[['2-cda', 'secondary neoplasms']]","[['2-cda', 'immunodeficiency'], ['2-cda', 'secondary neoplasms']]"
the nephrotic syndrome developed in a patient receiving therapy with gold for rheumatoid arthritis.,"[['gold', 'nephrotic syndrome']]","[['gold', 'nephrotic syndrome']]"
the purpose of this article is to present the first case-series of posterior reversible encephalopathy syndrome (pres) associated with l-asparaginase treatment.,"[['l-asparaginase', 'posterior reversible encephalopathy syndrome']]","[['l-asparaginase', 'posterior reversible encephalopathy syndrome'], ['l-asparaginase', 'pres']]"
ibuprofen rarely causes lower gastrointestinal adverse reactions but has been implicated in systemic and local side effects in patients with lupus.,"[['ibuprofen', 'lower gastrointestinal adverse reactions']]","[['ibuprofen', 'gastrointestinal adverse reactions']]"
management and successful desensitization in methotrexate-induced anaphylaxis.,"[['methotrexate', 'anaphylaxis']]","[['methotrexate', 'anaphylaxis']]"
"in our patient, an objective causality scale showed that therapeutic doses of colchicine for fmf were the definite cause of myopathy, even though his renal and hepatic function were normal.","[['colchicine', 'myopathy']]","[['colchicine', 'myopathy']]"
acute respiratory depression as a complication of nebulised morphine.,"[['morphine', 'acute respiratory depression']]","[['morphine', 'acute respiratory depression']]"
"we describe a patient with rheumatoid arthritis treated with gold salts, who developed bilateral interstitial pulmonary abnormalities and showed a dramatic response on corticosteroid therapy.","[['gold salts', 'interstitial pulmonary abnormalities']]","[['gold', 'bilateral interstitial pulmonary abnormalities']]"
"replicate brain magnetic resonance imaging examinations after six weeks and 11 months of penicillamine therapy documented the development of new brain lesions during this period, while liver biopsy specimen data disclosed that excellent hepatic decoppering had occurred.","[['penicillamine', 'brain lesions']]","[['penicillamine', 'brain lesions']]"
generalized argyria after habitual use of agno3.,"[['agno3', 'generalized argyria']]","[['agno3', 'generalized argyria']]"
conclusions: amantadine can cause reversible corneal edema but can irreversibly reduce the density of endothelial cells.,"[['amantadine', 'corneal edema']]","[['amantadine', 'reversible corneal edema']]"
the changes were progressive regardless of discontinuation of cyclophosphamide and led to severe restrictive ventilatory defect.,"[['cyclophosphamide', 'restrictive ventilatory defect']]","[['cyclophosphamide', 'severe restrictive ventilatory defect']]"
"three months following splenectomy, multiple abscesses occurred in the muscles of both thighs while the patient was receiving the third course of the chop regimen.","[['chop regimen', 'abscesses']]","[['chop', 'multiple abscesses']]"
objective: to report teicoplanin-related neutropenia that developed after an episode of neutropenia induced by vancomycin therapy.,"[['teicoplanin', 'neutropenia'], ['vancomycin', 'neutropenia']]","[['teicoplanin', 'neutropenia'], ['vancomycin', 'neutropenia']]"
clearance rates of cerivastatin metabolites in a patient with cerivastatin-induced rhabdomyolysis.,"[['cerivastatin', 'rhabdomyolysis']]","[['cerivastatin', 'rhabdomyolysis']]"
"although praziquantel administration may have been effective in killing the parasite in both patients, we are concerned about the production of marked inflammation as a result of treatment.","[['praziquantel', 'marked inflammation']]","[['praziquantel', 'inflammation']]"
"in keeping with findings in the literature, the aortic wall in this case was damaged by secondary changes following irradiation and bleomycin treatment.","[['bleomycin', 'aortic wall'], ['irradiation', 'aortic wall']]","[['bleomycin', 'aortic wall in this case was damaged']]"
"the possibility of deep vein thrombosis caused by the compression of the veins by necrotic tumor should be considered in patients with abdominal or pelvic metastases of gist, including patients treated with imatinib.","[['imatinib', 'deep vein thrombosis']]","[['imatinib', 'deep vein thrombosis']]"
"four months after receiving an orthotopic liver transplant, a 51-year-old man was admitted for progressive liver failure and severe hepatocellular necrosis thought to be due to tacrolimus.","[['tacrolimus', 'hepatocellular necrosis']]","[['tacrolimus', 'progressive liver failure'], ['tacrolimus', 'severe hepatocellular necrosis']]"
"thus, clinical recognition of sleep disordered breathing should be taken into account when rheumatoid arthritis patients are to be treated with infliximab.","[['infliximab', 'sleep disordered breathing']]","[['infliximab', 'sleep disordered breathing']]"
rifampin-associated thrombocytopenia secondary to poor compliance.,"[['rifampin', 'thrombocytopenia']]","[['rifampin', 'thrombocytopenia']]"
can propofol precipitate pancreatitis in patients with cushing's syndrome?,"[['propofol', 'pancreatitis']]","[['propofol', 'pancreatitis']]"
"four days after the initial injection of 3.6 mg of goserelin acetate, severe dyspnea developed due to worsening pleuritis carcinomatosa, which was considered as a flare-up.","[['goserelin acetate', 'severe dyspnea']]","[['goserelin acetate', 'flare-up'], ['goserelin acetate', 'severe dyspnea'], ['goserelin acetate', 'worsening pleuritis carcinomatosa']]"
diagnosis of hypothyroidism during treatment can be difficult because of the common side effects of alpha interferon.,"[['alpha interferon', 'hypothyroidism']]","[['alpha interferon', 'hypothyroidism']]"
granulocytopenia and agranulocytosis are considered among the most dangerous adverse effects of clozapine.,"[['clozapine', 'agranulocytosis'], ['clozapine', 'granulocytopenia']]","[['clozapine', 'agranulocytosis'], ['clozapine', 'granulocytopenia']]"
administration of cisplatin in three patients with carboplatin hypersensitivity: is skin testing useful?,"[['cisplatin', 'hypersensitivity'], ['carboplatin', 'hypersensitivity']]","[['carboplatin', 'hypersensitivity']]"
"the renal biopsy showed focal segmental glomerulosclerosis, which has only been previously reported in two cases of cml treated with ifnalpha.","[['ifnalpha', 'focal segmental glomerulosclerosis']]","[['ifnalpha', 'focal segmental glomerulosclerosis']]"
"isoniazid associated, painful, bilateral gynaecomastia.","[['isoniazid', 'bilateral gynaecomastia']]","[['isoniazid', 'bilateral gynaecomastia']]"
this is a case report of fatal cryptococcal meningitis in a child with systemic lupus erythematosus being treated with prednisolone and azathioprine.,"[['prednisolone', 'fatal cryptococcal meningitis'], ['azathioprine', 'fatal cryptococcal meningitis']]","[['azathioprine', 'cryptococcal meningitis'], ['prednisolone', 'cryptococcal meningitis']]"
the 3-week sulphasalazine syndrome strikes again.,"[['sulphasalazine', 'the 3-week sulphasalazine syndrome']]","[['sulphasalazine', 'sulphasalazine syndrome']]"
"we suggest that nicotinic acid was the cause of his liver disease, that this case is of particular note because of the rather short period of therapy before the onset of liver injury and the severity of the hepatic failure, and that the probable increased use of nicotinic acid for serum cholesterol control makes it especially important for physicians and their patients to be alert to the signs of hepatotoxicity.","[['nicotinic acid', 'liver disease']]","[['nicotinic acid', 'hepatotoxicity'], ['nicotinic acid', 'liver disease'], ['nicotinic acid', 'liver disease']]"
"mineral oil, a hydrocarbon, may not elicit a normal protective cough reflex and may impair mucociliary transport.","[['mineral oil', 'cough reflex'], ['mineral oil', 'mucociliary transport']]","[['mineral oil', 'impair mucociliary transport']]"
"with the first cyclosporine dose, the patient complained of leg pain that was most severe during the cyclosporine infusion.","[['cyclosporine', 'leg pain']]","[['cyclosporine', 'leg pain'], ['cyclosporine', 'leg pain']]"
three senile patients developed fatal acute encephalopathy while receiving calcium hopantenate.,"[['calcium hopantenate', 'acute encephalopathy']]","[['calcium hopantenate', 'fatal acute encephalopathy']]"
paroxysmal supraventricular tachycardia during treatment with cisplatin and etoposide combination.,"[['cisplatin', 'paroxysmal supraventricular tachycardia']]","[['cisplatin', 'paroxysmal supraventricular tachycardia'], ['etoposide', 'paroxysmal supraventricular tachycardia']]"
"attempts were made to stop and then restart the theophylline therapy at progressively lower doses; however, with each attempt, the patient's reaction to the drug became more toxic, with serum theophylline levels ranging between 99.9 and 149.9 micromol/l (18 and 27 microg/ml).","[['theophylline', 'toxic']]","[['theophylline', 'reaction to the drug became more toxic'], ['theophylline', 'reaction to the drug became more toxic']]"
we describe two women who developed hus after mmc therapy and presented massive pulmonary bleeding.,"[['mmc', 'hus'], ['mmc', 'pulmonary bleeding']]","[['mmc', 'hus'], ['mmc', 'massive pulmonary bleeding']]"
we report 3 cases of children with acute lymphoblastic leukemia who developed seizures and altered sensorium after l-asparaginase therapy.,"[['l-asparaginase', 'seizures']]","[['l-asparaginase', 'altered sensorium'], ['l-asparaginase', 'seizures']]"
"only after three subsequent episodes of severe, symptomatic thrombocytopenia over the next four weeks did he say, upon repeat questioning, that he had continued to take quinine for night leg cramps.","[['quinine', 'thrombocytopenia']]","[['quinine', 'thrombocytopenia']]"
captopril-induced lichen planus pemphigoides with pemphigus-like features.,"[['captopril', 'lichen planus pemphigoides'], ['captopril', 'pemphigus-like features']]","[['captopril', 'lichen planus pemphigoides']]"
"we describe longitudinal diffusion-weighted mri findings of sub-acute leukoencephalopathy following methotrexate therapy in a 24-year-old man diagnosed with pre-b-cell acute lymphoblastic leukemia (all), presenting with right-sided paralysis and aphasia after second consolidation with intrathecal triple-drug therapy given intrathecally.","[['methotrexate', 'leukoencephalopathy']]","[['methotrexate', 'sub-acute leukoencephalopathy']]"
"gynecomastia in epileptics treated with phenobarbital, phenytoin and fluoresone: two case reports.","[['fluoresone', 'gynecomastia'], ['phenobarbital', 'gynecomastia'], ['phenytoin', 'gynecomastia']]","[['fluoresone', 'gynecomastia'], ['phenobarbital', 'gynecomastia'], ['phenytoin', 'gynecomastia']]"
"one of the side-effects of intravitreal triamcinolone is the development of cataract, and it is known that cataract extraction can exacerbate macular degeneration.","[['triamcinolone', 'cataract'], ['triamcinolone', 'macular degeneration']]","[['triamcinolone', 'cataract']]"
"the clinical course suggested that recombinant alpha-2b peginterferon plus ribavirin provoked type 1 diabetes mellitus, therefore, in patients who are candidates for interferon therapy the presence of pancreatic autoantibodies and the fasting plasma glucose level should be investigated before and during treatment.","[['ribavirin', 'type 1 diabetes mellitus'], ['peginterferon', 'type 1 diabetes mellitus']]","[['recombinant alpha-2b peginterferon', 'type 1 diabetes mellitus'], ['ribavirin', 'type 1 diabetes mellitus']]"
this report describes a 13-year-old female with a right frontal high-grade glioma and complex partial seizures who developed localized purpura after 23 months of lamotrigine monotherapy.,"[['lamotrigine', 'localized purpura']]","[['lamotrigine', 'localized purpura']]"
asterixis induced by carbamazepine therapy.,"[['carbamazepine', 'asterixis']]","[['carbamazepine', 'asterixis']]"
anterior ischemic optic neuropathy secondary to interferon alfa.,"[['interferon alfa', 'anterior ischemic optic neuropathy']]","[['interferon alfa', 'anterior ischemic optic neuropathy']]"
initiation of posaconazole led to clinical improvement until the patient's demise from bacteremic vancomycin-resistant enterococcal peritonitis.,"[['posaconazole', 'vancomycin-resistant enterococcal peritonitis']]","[['posaconazole', 'enterococcal peritonitis']]"
anaphylaxis from isoniazid is a possible side effect to this commonly prescribed antibiotic.,"[['isoniazid', 'anaphylaxis']]","[['isoniazid', 'anaphylaxis']]"
pirmenol hydrochloride-induced qt prolongation and t wave inversion on electrocardiogram during treatment for symptomatic atrial fibrillation.,"[['pirmenol hydrochloride', 'qt prolongation']]","[['pirmenol hydrochloride', 'qt prolongation'], ['pirmenol hydrochloride', 't wave inversion']]"
"the most serious dental side effect of bisphosphonate treatment (particularly when it is administered intravenously) is, paradoxically, osteonecrosis of the mandible or the maxilla represented by exposed nonhealing bone.","[['bisphosphonate', 'osteonecrosis']]","[['bisphosphonate', 'osteonecrosis of the mandible']]"
management of hypophosphatemia induced by high-flux hemodiafiltration for the treatment of vancomycin toxicity: intravenous phosphorus therapy versus use of a phosphorus-enriched dialysate.,"[['hemodiafiltration', 'hypophosphatemia'], ['vancomycin', 'hypophosphatemia']]","[['vancomycin', 'vancomycin toxicity']]"
objectives: to describe the presentation and treatment of acute isoniazid (inh) neurotoxicity appearing at an inner-city municipal hospital.,"[['isoniazid', 'neurotoxicity']]","[['inh', 'neurotoxicity'], ['isoniazid', 'neurotoxicity']]"
photo-onycholysis caused by olanzapine and aripiprazole.,"[['aripiprazole', 'photo-onycholysis'], ['olanzapine', 'photo-onycholysis']]","[['aripiprazole', 'photo-onycholysis'], ['olanzapine', 'photo-onycholysis']]"
"this report describes an individual with mental retardation who experienced behavioral exacerbation associated with clonazepam prescribed at 2 mg/day (0.02 mg/kg/day) to treat aggression, self-injurious behavior, property destruction, and screaming, which was measured with a 15-minute partial interval recording measurement method.","[['clonazepam', 'behavioral exacerbation']]","[['clonazepam', 'behavioral exacerbation']]"
"in the present paper, we describe two patients with active uc who developed a severe systemic cmv infection during a treatment with an oral microemulsion form of cyclosporine.","[['cyclosporine', 'systemic cmv infection']]","[['cyclosporine', 'severe systemic cmv infection']]"
we describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.,"[['bleomycin', 'acral erythrocyanosis'], ['methotrexate', 'acral erythrocyanosis']]","[['bleomycin', 'acute digital ischemia'], ['methotrexate', 'acute digital ischemia'], ['bleomycin', 'gangrene'], ['methotrexate', 'gangrene']]"
"here we describe another case of vod occurring after lt, but in which the causative role was played by azathioprine.","[['azathioprine', 'vod']]","[['azathioprine', 'vod']]"
hypokalemia after normal doses of neubulized albuterol (salbutamol).,"[['albuterol', 'hypokalemia']]","[['albuterol', 'hypokalemia'], ['salbutamol', 'hypokalemia']]"
"conclusions: ltg overdose may result in a severe but reversible encephalopathy, a previously undescribed phenomenon.","[['ltg', 'encephalopathy']]","[['ltg', 'encephalopathy']]"
fibrosis of corpus cavernosum after intracavernous injection of phentolamine/papaverine.,"[['phentolamine', 'corpus cavernosum'], ['papaverine', 'corpus cavernosum']]","[['papaverine', 'fibrosis of corpus cavernosum'], ['phentolamine', 'fibrosis of corpus cavernosum']]"
"seizures occurred in two patients with probable alzheimer's disease who were receiving long-term treatment with metrifonate, an irreversible acetylcholinesterase inhibitor.","[['metrifonate', 'seizures']]","[['metrifonate', 'seizures']]"
"our report suggested that cbdca hypersensitivity was correlated with the total dose of previously administered platinum agents and that cbdca should be excluded in patients who have received multiple platinum-based chemotherapy, even in platinum-sensitive cases, because cbdca hypersensitivity can occur even with low-dose cbdca administration.","[['cbdca', 'hypersensitivity']]","[['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity'], ['cbdca', 'hypersensitivity']]"
exacerbation of anthracycline-induced early chronic cardiomyopathy with atra: role of b-type natriuretic peptide as an indicator of cardiac dysfunction.,"[['atra', 'b-type natriuretic peptide'], ['anthracycline', 'early chronic cardiomyopathy']]","[['anthracycline', 'early chronic cardiomyopathy']]"
"based on the naranjo algorithm, the adverse reaction observed was probably related to the hydroxyurea treatment (score = 6); however, the hydroxyurea chemotherapy could not be discontinued because of the myeloproliferative disorder.","[['hydroxyurea', 'naranjo algorithm']]","[['hydroxyurea', 'myeloproliferative disorder']]"
septic knee arthritis after intra-articular hyaluronate injection.,"[['hyaluronate', 'septic knee arthritis']]","[['hyaluronate', 'septic knee arthritis']]"
"norethisterone in these 69 pregnancies accounted for 33.3% (5 of 15) cases of clitoral hypertrophy diagnosed in 100,756 consecutive births.","[['norethisterone', 'clitoral hypertrophy']]","[['norethisterone', 'clitoral hypertrophy']]"
hepatotoxicity associated with use of d-penicillamine in rheumatoid arthritis.,"[['d-penicillamine', 'hepatotoxicity']]","[['d-penicillamine', 'hepatotoxicity']]"
case report: mannitol nephrotoxicity syndrome: role of hemodialysis and postulate of mechanisms.,"[['mannitol', 'nephrotoxicity']]","[['mannitol', 'nephrotoxicity syndrome']]"
severe steroid-induced glaucoma following intravitreal injection of triamcinolone acetonide.,"[['triamcinolone acetonide', 'severe steroid-induced glaucoma']]","[['steroid', 'glaucoma'], ['triamcinolone acetonide', 'glaucoma']]"
"central nervous system effects secondary to ciprofloxacin treatment are uncommon and usually consist only of minor dizziness or mild headache, although rare occurrences of seizures and hallucinations have been reported.","[['ciprofloxacin', 'seizures'], ['ciprofloxacin', 'headache']]","[['ciprofloxacin', 'hallucinations'], ['ciprofloxacin', 'mild headache'], ['ciprofloxacin', 'minor dizziness'], ['ciprofloxacin', 'seizures']]"
"radiation recall from gemcitabine is rare, but can potentially arise in any site that has been previously irradiated.","[['gemcitabine', 'radiation recall']]","[['gemcitabine', 'radiation recall']]"
"in this article, we describe a japanese patient with severe interstitial pneumonia probably caused by sorafenib treatment for metastatic renal cell carcinoma.","[['sorafenib', 'interstitial pneumonia']]","[['sorafenib', 'severe interstitial pneumonia']]"
we describe a patient who presented with bloody diarrhoea after 15 mg meloxicam daily for 10 days for osteoarthritis.,"[['meloxicam', 'bloody diarrhoea']]","[['meloxicam', 'bloody diarrhoea']]"
a 75-year-old man developed bilateral lower leg edema 6 months after switching from troglitazone to pioglitazone.,"[['pioglitazone', 'bilateral lower leg edema'], ['troglitazone', 'bilateral lower leg edema']]","[['pioglitazone', 'bilateral lower leg edema']]"
"however, dermatologists should be cautious about a photosensitivity reaction induced by mequitazine or other phenothiazine-derivative drugs.","[['mequitazine', 'photosensitivity reaction']]","[['mequitazine', 'photosensitivity']]"
atypical neuroleptic malignant syndrome associated with olanzapine.,"[['olanzapine', 'atypical neuroleptic malignant syndrome']]","[['olanzapine', 'neuroleptic malignant syndrome']]"
"children with acute lymphoblastic leukemia (all), treated with l-asparaginase are at risk for cerebral thrombosis or hemorrhage because of coagulation protein deficiencies.","[['l-asparaginase', 'cerebral thrombosis']]","[['l-asparaginase', 'cerebral thrombosis'], ['l-asparaginase', 'coagulation protein deficiencies'], ['l-asparaginase', 'hemorrhage']]"
objective: to report a case of a diffuse papular eruption following treatment of psoriasis with methotrexate injections.,"[['methotrexate', 'diffuse papular eruption']]","[['methotrexate', 'diffuse papular eruption']]"
a third patient experienced disabling neurotoxicity in the extremity of a prior ulnar nerve and tendon transposition after receiving paclitaxel.,"[['paclitaxel', 'neurotoxicity']]","[['paclitaxel', 'disabling neurotoxicity']]"
we report a case of torsade de pointes following a single oral dose of amiodarone (1400 mg or 30 mg kg-1) administered after short intravenous loading for prevention of paroxysmal atrial flutter.,"[['amiodarone', 'torsade de pointes']]","[['amiodarone', 'torsade de pointes']]"
"we describe a patient with crest syndrome (calcinosis, raynaud's phenomenon, esophageal dysfunction, sclerodactyly, and telangiectasia) who paradoxically experienced worsening of raynaud's phenomenon when using yohimbine for ed.","[['yohimbine', ""raynaud's phenomenon""]]","[['yohimbine', ""worsening of raynaud's phenomenon""]]"
disseminated cellulitic cryptococcosis in the setting of prednisone monotherapy for pemphigus vulgaris.,"[['prednisone', 'disseminated cellulitic cryptococcosis']]","[['prednisone', 'disseminated cellulitic cryptococcosis']]"
"this case study describes an atypical case of refractory, sodium warfarin-induced necrotizing fasciitis and myonecrosis.","[['sodium warfarin', 'necrotizing fasciitis']]","[['sodium warfarin', 'myonecrosis'], ['sodium warfarin', 'necrotizing fasciitis']]"
