input,response
Secondary acute myeloid leukemia after etoposide therapy for haemophagocytic lymphohistiocytosis.,"[[""acute myeloid leukemia""], [""etoposide""], [""haemophagocytic lymphohistiocytosis""]]"
Disseminated muscular cysticercosis with myositis induced by praziquantel therapy.,"[[""praziquantel"",""disseminated muscular cysticercosis with myositis""]]"
Bleomycin induced hyperpigmentation with yolk sac tumor.,"[[""Bleomycin"",""hyperpigmentation""]]"
Although differential diagnostic alternatives can be considered in all described cases it is very likely that vincristine does cause severe visual loss in a small number of patients.,"[[""Vincristine"",""severe visual loss""]]"
EEG abnormalities were observed in two of the nine children during chlorambucil therapy.,"[[""chlorambucil"",""EEG abnormalities""]]"
Acute drug induced hepatitis due to erlotinib.,"[[""erlotinib"",""drug induced hepatitis""]]"
Anaphylaxis from isoniazid is a possible side effect to this commonly prescribed antibiotic.,"[[""isoniazid"",""side effect""]]"
"A patient with chronic myeloid leukaemia treated with busulphan for 4-5 years, developed signs of busulphan toxicity and portal hypertension with ascites, oesophageal varices and jaundice.","[[""busulphan"",""toxicity""]]"
Clearance rates of cerivastatin metabolites in a patient with cerivastatin-induced rhabdomyolysis.,"[[""cerivastatin"",""metabolite""]]"
Two case reports of bilateral granulomatous anterior uveitis are described in patients with open angle glaucoma treated with metripranolol 0.6% eye drops.,"[[""Granulomatous anterior uveitis""], [""Metripranolol""], [""Granulomatous anterior uveitis""], [""Metripranolol 0.6% eye drops""]]"
The ocular motor disturbances are probably an expression of regional 5-FU neurotoxicity primarily affecting the brain stem.,"[[""5-FU"",""neurotoxicity""]]"
Enalaprilat induced acute parotitis.,"[[""enalaprilat"",""acute parotitis""]]"
Cis-retinoic acid (RA) may further increase the risk of developing BMTN.,"[[""BMTN"",""treatment""], [""Cis-retinoic acid"",""side-effect""]]"
"Neuropathy is a significant side effect of thalidomide therapy, which may limit its clinical use.","[[""thalidomide"",""side effect"",""neuropathy""]]"
"However, several case reports have suggested that clozapine could also cause TD.","[[""clozapine"",""tuberculosis""]]"
INTRODUCTION-The aim of this case report is to present a 15-year follow-up of a patient with phenytoin (PHT) intoxication with unilateral gingival hyperplasia (GH).,"[[""phenytoin"",""gingival hyperplasia""]]"
Toxic epidermal necrolysis after the use of high-dose cytosine arabinoside.,"[[""cytosine arabinoside"",""toxic epidermal necrolysis""]]"
Two cases of sirolimus-associated pneumonitis have been reported after cardiac transplantation.,"[[""sirolimus"",""associated with""]]"
Thrombocytosis associated with enoxaparin: A very rare cause in newborns.,"[[""enoxaparin"",""thrombocytosis""]]"
OBJECTIVE: To describe a case of severe skin necrosis resulting from peripheral intravenous administration of low-dose vasopressin in a patient with catecholamine-resistant septic shock.,"[[""vasopressin"",""skin necrosis""]]"
"Fortunately, a hypersensitivity reaction to one formulation of cyclosporine does not preclude use of a different formulation.","[[""cyclosporine"",""hypersensitivity reaction""]]"
"The case history confirms that gold treatment, even in the same patient, can give rise to a wide range of skin disturbances, which in many cases do not break out until long after the drug has been withdrawn.","[[""Gold"",""drug""]]"
"PURPOSE: The case of a patient who developed aseptic meningitis, hemolytic anemia, hepatitis, and orthostatic hypotension simultaneously during treatment with trimethoprim-sulfamethoxazole is described.","[[""aseptic meningitis""], [""hemolytic anemia""], [""hepatitis""], [""orthostatic hypotension""]]"
METHODS: We queried 35 rheumatologists at the Robert Breck Brigham Arthritis Center to determine if weight loss had occurred as an adverse event in patients treated with leflunomide between November 1998 and January 2000.,"[[""leflunomide"",""weight loss""]]"
"This case describes a 52-year-old white woman who developed a spontaneous nasal septal perforation after given the antiangiogenic drug, bevacizumab, for metastatic ovarian cancer treatment.","[[""bevacizumab"",""spontaneous nasal septal perforation""]]"
We describe a patient who developed granulocytopenia and fever after taking dipyrone and discuss the available literature.,"[[""dipyrone"",""granulocytopenia""]]"
Infliximab-induced lupus in Crohn's disease: a case report.,"[[""infliximab"",""lupus""]]"
"Acute pancreatitis is a known, although rare, complication of mesalamine treatment.","[[""mesalamine"",""acute pancreatitis""]]"
"Accordingly, camptocormia is a dose-dependent side effect of valproate.","[[""valproate"",""camptocormia""]]"
"Pancreatitis is a very rare adverse effect associated with the use of amiodarone, and only four cases of amiodarone-induced pancreatitis have been reported in literature.","[[""amiodarone"",""adverse effect""], [""amiodarone"",""papillary necrosis""]]"
Acute myocardial infarction during high-dose methylprednisolone therapy for Graves' ophthalmopathy.,"[[""Graves' ophthalmopathy""], [""methylprednisolone""], [""acute myocardial infarction""]]"
This case demonstrates the association of selective IgA deficiency with remission in rheumatoid arthritis induced by fenclofenac as well as aurothiomalate and sulphasalazine.,"[[""rheumatoid arthritis""], [""aurothiomalate""], [""sulphasalazine""], [""selective IgA deficiency""]]"
"We describe two ELBW infants affected by hyperkalaemia, treated with Kayexalate, who developed serious hypernatraemia, that has never been reported before in preterm infants.","[[""Kayexalate"",""hyperkalaemia""]]"
Methadone-induced myoclonus in advanced cancer.,"[[""methadone"",""myoclonus""]]"
Depressive symptoms disappeared after interferon therapy was stopped.,"[[""depression"",""disappear""], [[""interferon"",""disappear""]]"
"So far, few cases of pulmonary side effects caused by ticlopidine have been reported.","[[""ticlopidine"",""pulmonary side effects""]]"
"However, re-initiation of sunitinib treatment was followed by bilateral breast enlargement again.","[[""sunitinib"",""bilateral breast enlargement""]]"
"However, he developed acute renal failure, hyperkalemia, and hyperuricemia 30 d after receiving the sorafenib treatment.","[[""sorafenib"",""acute renal failure""]]"
"We suggest that the previous classification of nitrofurantoin induced lung injury into ""acute"" and ""chronic"" injury is an oversimplification in view of the wide variety of pathological entities that have subsequently emerged.","[[""nitrofurantoin"",""lung injury""]]"
Acute dystonia during pegylated interferon alpha therapy in a case with chronic hepatitis B infection.,"[[""pegylated interferon alpha"",""acute dystonia""]]"
Can roxithromycin and betamethasone induce acute pancreatitis? A case report.,"[[""Betamethasone"",""induces acute pancreatitis""]]"
PURPOSE: We report an unusual paradoxical effect of brimonidine.,"[[""brimonidine"",""paradoxical effect""]]"
"Allergic side effects of AZA are rare, and reported allergic skin eruptions from AZA are very limited in Japan.","[[""aza"",""allergy""]]"
"Norethisterone in these 69 pregnancies accounted for 33.3% (5 of 15) cases of clitoral hypertrophy diagnosed in 100,756 consecutive births.","[[""norethisterone"",""pregnancy""]]"
"A patient with ulcerative colitis developed skin pigmentation and diffuse pulmonary shadowing without respiratory symptomatology, while taking sulfasalazine.","[[""sulfasalazine"",""skin pigmentation""]]"
Intrathecal methotrexate-induced acute cerebellar syndrome.,"[[""methotrexate"",""acute cerebellar syndrome""]]"
"Two other patients who did not receive prochlorperazine, developed retinal problems which later improved, one after only 15 g of desferrioxamine.","[[""desferrioxamine"",""ocular toxicity""]]"
We believe that this is the first description of acute hepatitis caused by an idiosyncratic adverse reaction to gliclazide or to one of its metabolites.,"[[""gliclazide"",""acute hepatitis""]]"
"We report an allogeneic bone marrow transplant recipient who developed CMV infection refractory to sequential therapy with ganciclovir, foscarnet, and cidofovir.","[[""cidofovir"",""refractory""]]"
Heparin-induced thrombocytopenia complicated with massive thrombosis of the inferior vena cava after filter placement.,"[[""heparin"",""thrombocytopenia""]]"
CONCLUSIONS: The piloerection observed after the replacement of fluvoxamine with milnacipran in this patient appears to have been due to an increase in the alpha(1)-adrenoceptor occupancy by endogenous norepinephrine induced by milnacipran.,"[[""piloerection""], [""milnacipran""], [""fluvoxamine""], [""piloerection""], [""milnacipran""], [""fluvoxamine""], [""piloerection""], [""milnacipran""], [""fluvoxamine""], [""piloerection""], [""milnacipran""], [""fluvoxamine""], [""piloerection""], [""milnacipran""], [""fluvoxamine""], [""piloerection""], [""milnacipran""], [""fluvoxamine""], [""piloerection""], [""milnacipran""], [""fluvoxamine""], ["""
These evolutional changes in both proteinuria and glomerular histology suggest a close linkage between the M-CSF treatment and macrophage-related glomerular injury.,"[[""M-CSF"",""glomerular injury""]]"
Their parkinsonism improved on discontinuation of metoclopramide therapy.,"[[""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""], [""Parkinsonism""], [""metoclopramide""],"
"In this report, we present a case of hypoglycaemic coma associated with SP, an adverse reaction that is likely to be underreported and expected to occur with greater frequency as the use of SP increases.","[[""sucralose"",""hypoglycaemic coma""]]"
Minimal change nephrotic syndrome developing during postoperative interferon-beta therapy for malignant melanoma.,"[[""minimal change nephrotic syndrome""], [""interferon-beta""], [""malignant melanoma""]]"
A cause-effect relationship to capecitabine was suggested due to resolution of headache with capecitabine withdrawal and reappearance with capecitabine rechallenge.,"[[""capecitabine"",""headache""]]"
Central nervous system manifestations of an ibuprofen overdose reversed by naloxone.,"[[""naloxone"",""reverses""]]"
Development of an extensive skin rash following a single dose of MTX may be an early warning sign for life-threatening bone marrow aplasia.,"[[""methotrexate"",""skin rash""]]"
"However, there remain questions concerning whether these drugs, especially methimazole (MMI), may be associated with aplasia cutis congenita (ACC) and how best to avoid impairment of fetal thyroid function during their use.","[[""aplasia cutis congenita""], [""methimazole""], [""aplasia cutis congenita""], [""methimazole""], [""aplasia cutis congenita""], [""thyroid hormone""]]"
Rapid onset of quetiapine-induced diabetic ketoacidosis in an elderly patient: a case report.,"[[""quetiapine"",""diabetic ketoacidosis""]]"
An insulin-dependent diabetic patient with nephropathy developed severe acidosis after treatment with acetazolamide for glaucoma.,"[[""acetazolamide"",""diabetes""]]"
"In all three cases, autopsy revealed gross and microscopic features indistinguishable from those seen in the Hamman-Rich syndrome, and methotrexate hepatotoxicity was present in one.","[[""Hamman-Rich syndrome""], [""methotrexate hepatotoxicity""]]"
Our literature review revealed an additional six cases of onset of inflammatory arthritis in MS patients receiving IFN-beta.,"[[""inflammatory arthritis""], [""IFN-beta""], [""MS""], [""IFN-beta""], [""MS""], [""inflammatory arthritis""]]"
We report the case of a young healthy woman who presented an early overanticoagulation when receiving acenocoumarol for a first thromboembolic episode.,"[[""acenocoumarol"",""overanticoagulation""]]"
"We describe longitudinal diffusion-weighted MRI findings of sub-acute leukoencephalopathy following methotrexate therapy in a 24-year-old man diagnosed with pre-B-cell acute lymphoblastic leukemia (ALL), presenting with right-sided paralysis and aphasia after second consolidation with intrathecal triple-drug therapy given intrathecally.","[[""methotrexate"",""leukoencephalopathy""]]"
INTRODUCTION: In resource limited settings patients on antiretroviral treatment who develop stavudine induced hyperlactatemia are often switched to zidovudine on the basis of published studies that demonstrate that this agent can be a safe alternative.,"[[""zidovudine"",""hyperlactatemia""]]"
Reversible findings of restricted diffusion in 5-fluorouracil neurotoxicity.,"[[""5-fluorouracil"",""restricted diffusion""]]"
We present the first case (to our knowledge) of a potentially serious drug-drug interaction between zafirlukast and theophylline.,"[[""zafirlukast"",""drug interaction""], [""theophylline"",""drug interaction""]]"
A 58-year old patient is reported who developed an ischaemic cerebrovascular accident 22 hours after successful thrombolysis with streptokinase for life-threatening pulmonary emboli.,"[[""thrombolysis"",""ischaemic cerebrovascular accident""]]"
Sixteen of 33 patients developed significant hyponatremia and hypoosmolality during oral treatment with lorcainide.,"[[""lorcainide"",""hyponatremia""]]"
The mean time from starting MMF to the development of neutropenia was 4 months.,"[[""MMF"",""neutropenia""]]"
Sensory neuropathy revealing necrotizing vasculitis during infliximab therapy for rheumatoid arthritis.,"[[""infliximab"",""necrotizing vasculitis""]]"
"To our knowledge, no prior cases of penicillamine-induced TTP in RA have been reported.","[[""TTP""], [""penicillamine""], [""rheumatoid arthritis""]]"
"Acute severe intoxication with carbamazepine is associated with seizures, coma and respiratory depression.","[[""carbamazepine"",""seizures""]]"
"Given that discontinuation of nitrofurantoin and introduction of methylprednisolon therapy significantly lowered liver enzyme levels, restoring most of them to normal, we concluded that this was probably the case of toxic liver damage caused by nitrofurantoin.","[[""nitrofurantoin"",""liver enzymes""]]"
Cicatricial entropion associated with chronic dipivefrin application.,"[[""dipivefrin"",""side effect""]]"
"We report (to our knowledge, for the first time in a child) the emergence of psychosis in a 12-year old white girl with an increased efavirenz concentration and heterozygous gene polymorphism of the CYP2B6-G516T.","[[""efavirenz"",""psychosis""]]"
Marked hyperkalemia was observed during and immediately after an infusion of arginine monohydrochloride in two patients with severe hepatic disease and moderate renal insufficiency.,"[[""arginine monohydrochloride"",""hyperkalemia""]]"
Peripheral neuropathy and cerebellar syndrome associated with amiodarone therapy.,"[[""amiodarone"",""cerebellar syndrome""]]"
A 23-year-old woman with systemic lupus erythematosus had a severe hypersensitivity reaction to the drug ibuprofen.,"[[""ibuprofen"",""hypersensitivity reaction""]]"
"The first patient is undergoing hemodialysis and, though responding to sunitinib, is having significant fatigue and hypertension.","[[""sunitinib"",""fatigue""]]"
Methotrexate-induced papular eruption following treatment of psoriasis.,"[[""methotrexate"",""papular eruption""]]"
Disseminated intravascular coagulation associated with acute hemoglobinemia or hemoglobinuria following Rh(0)(D) immune globulin intravenous administration for immune thrombocytopenic purpura.,"[[""Rh(0)(D) immune globulin"",""disseminated intravascular coagulation""]]"
The reported case represents an unusual association between medication with the proton pump inhibitor lansoprazole and the development of collagenous colitis suggesting the importance of evaluation of drug use in patients with microscopic colitis.,"[[""lansoprazole"",""drug use""]]"
We report a case of senna-induced cholestatic hepatitis which was not diagnosed at presentation.,"[[""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna""], [""cholestatic hepatitis""], [""senna"
"We recommend that clinicians monitor patients for signs and symptoms of pancreatitis, including abdominal pain, during treatment with tigecycline.","[[""tigecycline"",""abdominal pain""]]"
Other potential causes of renal failure were not present in our patient and his renal function gradually recovered with the cessation of suramin treatment.,"[[""suramin"",""renal failure""]]"
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.,"[[""Thrombotic microangiopathy""], [""gemcitabine""], [""renal failure""]]"
Massive pulmonary embolism due to late-onset heparin-induced thrombocytopenia following coronary artery bypass graft surgery: successful treatment with lepirudin.,"[[""heparin"",""pulmonary embolism""]]"
"Tiagabine overdose causes an unusual array of neurological symptoms, many similar to reported adverse effects during therapeutic use.","[[""Tiagabine"",""adverse effect""]]"
"OBJECTIVE: To describe what is believed, as of November 4, 2003, to be the first case published in the literature of acute interstitial nephritis (AIN) due to pantoprazole.","[[""Pantoprazole"",""acute interstitial nephritis""]]"
"Idiosyncratic pulmonary reactions to nitrofurantoin are not unusual, often presenting as eosinophilic pneumonia.","[[""nitrofurantoin"",""idiosyncratic pulmonary reactions""]]"
"Treatment of amiodarone-induced thyrotoxicosis (AIT) with thionamide, lithium or radioactive iodine is ineffective.","[[""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced thyrotoxicosis""], [""amiodarone-induced"
Sulfasalazine-induced hypersensitivity syndrome and hemophagocytic syndrome associated with reactivation of Epstein-Barr virus.,"[[""Sulfasalazine"",""hypersensitivity syndrome""]]"
"The occurrence of a myocardial infarction is reported after chemotherapy containing etoposide, in a man with no risk factors for coronary heart disease.","[[""etoposide"",""myocardial infarction""]]"
Hemodialysis was also shown to reverse ifosfamide-related neurotoxicity.,"[[""hemodialysis"",""reverses""]]"
Red blood cell anemia in a patient with pemphigus vulgaris induced by the use of mycophenolate mofetil and prednisone.,"[[""red blood cell"",""anemia""]]"
Ciprofloxacin-induced psychosis.,"[[""ciprofloxacin"",""psychosis""]]"
"Diagnosis of sclerosing glomerulonephritis occurred in this patient during anastrozole use, suggesting a newly defined side effect of anastrozole.","[[""sclerosing glomerulonephritis""], [""anastrozole""], [""sclerosing glomerulonephritis""], [""anastrozole""], [""sclerosing glomerulonephritis""], [""anastrozole""], [""sclerosing glomerulonephritis""]]"
"He was started on digoxin, 0.25 mg daily, because of echocardiographically demonstrated left ventricular dilatation and functional impairment; he died of ventricular fibrillation 15 days later.","[[""ventricular fibrillation""], [""digoxin""], [""echocardiographically demonstrated left ventricular dilatation""]]"
Serotonin syndrome caused by interaction between citalopram and fentanyl.,"[[""citalopram"",""fentanyl""]]"
"Acute interstitial pneumonia induced by ONO-1078 (pranlukast), a leukotriene receptor antagonist.","[[""ONO-1078"",""acute interstitial pneumonia""]]"
Niacin causes a reversible toxic cystoid maculopathy that occurs in approximately 0.67% of patients taking high doses of the drug.,"[[""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin""], [""toxic cystoid maculopathy""], [""niacin"
"Warfarin-associated bleeding generally is considered deleterious; however, in our patient it unmasked an early stage of colon cancer and thus may have saved the patient's life.","[[""Warfarin"",""associated bleeding""]]"
